PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
7191232;"Ángeles Urbanos Hortaleza, centro ocupacional para personas con discapacidad intelectual";"";"";"Centro ocupacional para personas con discapacidad intelectual.";"Metro: Canillas (línea 4)  Bus: 73, 120";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9848f0794072410VgnVCM1000000b205a0aRCRD";"JOSE ALVAREZ DE TOLEDO";"CALLE";"V";"6";"Baja";"";"";"";"MADRID";"MADRID";"28043";"2";"PIOVERA";"16";"HORTALEZA";"446656";"4479258";"40.4622896632514";"-3.6291868399298917";"911 558 200";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad"
11156077;"APAM Centro de rehabilitación";"";"";"Centro de rehabilitación para personas con discapacidad física.";"Metro: Alvarado (línea 1)  Bus: 5, 149, 43, 124, 128, 3, 64, 66";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f96bbc18998c0710VgnVCM2000001f4a900aRCRD";"JAEN";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28020";"2";"CUATRO CAMINOS";"6";"TETUAN";"440616";"4477972";"40.45028920491589";"-3.7002985278627993";"915 333 722";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad"
10613790;"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras";"";"";"Residencia, centro de día y centro ocupacional para personas con discapacidad intelectual.";"Bus: 712, 713, 714, 716";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=11dc2ab96da61610VgnVCM1000001d4a900aRCRD";"COLMENAR VIEJO";"CARRETERA";"V";"13.6";"";"";"";"";"MADRID";"MADRID";"28049";"";"";"";"DISTRITO";"439552";"4490491";"40.56299317375062";"-3.7140517146418874";"917 345 138";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad"
1417;"ATENPACE Centro de rehabilitación para jóvenes y adultos paralíticos cerebrales";"";"";"Centro de rehabilitación para personas con discapacidad física.";"Metro: Peñagrande, Avenida de la Ilustración (línea 7)   Bus: 64, 83, 133";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f25376172d71c010VgnVCM1000000b205a0aRCRD";"ISLAS MARQUESAS";"CALLE";"V";"27";"";"";"";"";"MADRID";"MADRID";"28035";"3";"PEÑA GRANDE";"8";"FUENCARRAL-EL PARDO";"438435";"4480885";"40.47636911532918";"-3.7263082350685446";"913 167 446";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad"
7827523;"Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid";"";"";"Centro residencial y centro de día para personas con discapacidad física.";"Metro: Valdebernardo (línea 9)  Bus: 71, 130, E4  Bicimad: Estación 465 (Cordel de Pavones, 48)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e9f7c8c2e9ca410VgnVCM2000000c205a0aRCRD";"JOSE PRAT";"BULEVAR";"V";"40";"";"";"";"";"MADRID";"MADRID";"28032";"2";"VALDEBERNARDO";"19";"VICALVARO";"447406";"4471911";"40.3961484554016";"-3.619735666015524";"913 016 560";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad"
11917;"Aluche, centro ocupacional para personas con discapacidad intelectual";"";"";"Centro ocupacional para personas con discapacidad intelectual.";"Bus: 17, 34, 39, 117, 138, 139  Renfe: Las Águilas (C5)  Metro: Aluche (línea 5)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f72466051361c010VgnVCM1000000b205a0aRCRD";"RAFAEL FINAT";"CALLE";"V";"48";"";"";"";"";"MADRID";"MADRID";"28044";"7";"LAS AGUILAS";"10";"LATINA";"434507";"4470025";"40.378239183007324";"-3.771529019692818";"917 062 921";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad"
11155083;"Amafe, Centro de día";"";"";"Centro de día para personas con enfermedad mental crónica.";"Metro: Ventas (línea 2, 5)    Bus: 106, 110, 146, 21, 210, 38, 53, 12";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c924648cbfeb0710VgnVCM2000001f4a900aRCRD";"RUIZ PERELLO";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28028";"4";"GUINDALERA";"4";"SALAMANCA";"443446";"4475699";"40.430014220483805";"-3.6667355853404433";"913 612 768";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosDiasPersonasDiscapacidad"
35013;"Amanecer, Centro ocupacional para personas con discapacidad intelectual";"";"";"Centro ocupacional para personas con discapacidad intelectual.";"Metro: Prosperidad (línea 4), Cruz del Rayo (línea 9)  Bus: 73, 9  Bicimad: Estación 146 (calle María Francisca, 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e087b3e42751c010VgnVCM2000000c205a0aRCRD";"MATILDE DIEZ";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28002";"3";"CIUDAD JARDIN";"5";"CHAMARTIN";"442860";"4477466";"40.44588922720919";"-3.673799864511205";"914 133 419";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad"
34541;"Aprocor I, Taller centro ocupacional";"";"";"Centro ocupacional para personas con discapacidad intelectual";"Bus: 112, 122, 153, 104";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9697b3e42751c010VgnVCM2000000c205a0aRCRD";"ESTEBAN PALACIOS";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28043";"2";"PIOVERA";"16";"HORTALEZA";"447242";"4478764";"40.457872904908626";"-3.6222314192739904";"917 598 457";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad/CentrosOcupacionalesPersonasDiscapacidad"
10610720;"Asociación esclerosis múltiple Madrid, centro de rehabilitación";"";"";"Centro de rehabilitación para personas con discapacidad física.";"Bus: 67, 83, 125, 175, 178, 165, 166";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e94ef2b16151610VgnVCM1000001d4a900aRCRD";"SANGENJO";"CALLE";"V";"36";"1º";"";"";"";"MADRID";"MADRID";"28034";"5";"LA PAZ";"8";"FUENCARRAL-EL PARDO";"440796";"4482105";"40.48753110350201";"-3.6985691585465794";"913 785 526";"";"";"/contenido/entidadesYorganismos/CentrosAtencionSocialPersonasDiscapacidad"
