title,ubicacion,precio,habitaciones,banos,m2_constr,planta,EUR/m2,estado,url,fecha_descarga,web,distrito,barrio,cod_distrito,cod_barrio,tipologia
Apartamento en venta en A Tan Solo Metros del Teatro de La Latina,Palacio (Distrito Centro. Madrid Capital),250000,1,1,39,5,6410,,https://www.pisos.com/comprar/apartamento-centro_palacio28005-47597559176_109100/,2024-10-19,pisos.com,Centro,Palacio,1.0,11.0,Apartamento
Apartamento en venta en Apóstol Santiago,Apóstol Santiago (Distrito Hortaleza. Madrid Capital),420000,2,1,73,,5753,,https://www.pisos.com/comprar/apartamento-apostol_santiago-41696859245_101800/,2024-10-19,pisos.com,Hortaleza,Apóstol Santiago,16.0,165.0,Apartamento
Apartamento en venta en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),3990000,8,4,372,,10725,,https://www.pisos.com/comprar/apartamento-moncloa_aravaca_arguelles28008-48334738432_101800/,2024-10-19,pisos.com,,Argüelles,,,Apartamento
Apartamento en venta en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),515000,2,1,75,,6866,,https://www.pisos.com/comprar/apartamento-moncloa_aravaca_arguelles28008-48429886093_101800/,2024-10-19,pisos.com,,Argüelles,,,Apartamento
Apartamento en venta en Atalaya,Atalaya (Distrito Ciudad Lineal. Madrid Capital),1220000,5,3,331,,3685,,https://www.pisos.com/comprar/apartamento-ciudad_lineal_atalaya-43413667133_101800/,2024-10-19,pisos.com,Ciudad Lineal,Atalaya,15.0,158.0,Apartamento
"Apartamento en venta en Avenida de Alberto Alcocer, 12",Hispanoamérica (Distrito Chamartín. Madrid Capital),599999,2,1,80,8,7499,,https://www.pisos.com/comprar/apartamento-chamartin_hispanoamerica28036-5079385422_100100/,2024-08-19,pisos.com,Chamartín,Hispanoamérica,5.0,54.0,Apartamento
"Apartamento en venta en Avenida de Alberto Alcocer, 12",Hispanoamérica (Distrito Chamartín. Madrid Capital),600000,1,1,74,7,8108,,https://www.pisos.com/comprar/apartamento-chamartin_hispanoamerica28036-5050203265_100100/,2024-08-19,pisos.com,Chamartín,Hispanoamérica,5.0,54.0,Apartamento
"Apartamento en venta en Avenida de Alberto Alcocer, 12",Hispanoamérica (Distrito Chamartín. Madrid Capital),650000,1,1,76,6,8552,,https://www.pisos.com/comprar/apartamento-chamartin_hispanoamerica28036-5059539170_100100/,2024-08-19,pisos.com,Chamartín,Hispanoamérica,5.0,54.0,Apartamento
"Apartamento en venta en Avenida de la Albufera, cerca de Calle del Monte Olivetti",Numancia (Distrito Puente de Vallecas. Madrid Capital),130000,1,1,32,3,4062,,https://www.pisos.com/comprar/apartamento-numancia28038-23346612467_100500/,2024-08-19,pisos.com,Puente de Vallecas,Numancia,13.0,136.0,Apartamento
"Apartamento en venta en Avenida de la Ciudad de Barcelona, cerca de Calle Doctor Esquerdo",Pacífico (Distrito Retiro. Madrid Capital),225000,1,1,40,2,5625,En buen estado,https://www.pisos.com/comprar/apartamento-retiro_pacifico28007-45841143087_993066/,2024-08-19,pisos.com,Retiro,Pacífico,3.0,31.0,Apartamento
Apartamento en venta en Barajas,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),245000,1,1,45,1,5444,,https://www.pisos.com/comprar/apartamento-casco_historico_de_barajas-41714529916_108900/,2024-10-19,pisos.com,Barajas,Casco Histórico de Barajas,21.0,213.0,Apartamento
Apartamento en venta en Calle Convenio,San Diego (Distrito Puente de Vallecas. Madrid Capital),200000,1,1,72,4,2777,En buen estado,https://www.pisos.com/comprar/apartamento-san_diego28053-46670728370_440000/,2024-10-19,pisos.com,Puente de Vallecas,San Diego,13.0,132.0,Apartamento
"Apartamento en venta en Calle Doctor Esquerdo, cerca de Calle del Jardín de San Federico",Goya (Distrito Salamanca. Madrid Capital),265000,1,1,57,,4649,,https://www.pisos.com/comprar/apartamento-goya28028-43339320550_100500/,2024-08-19,pisos.com,Salamanca,Goya,4.0,42.0,Apartamento
Apartamento en venta en Calle Infante  Mercedes,Castillejos (Distrito Tetuán. Madrid Capital),435000,1,1,67,5,6492,En buen estado,https://www.pisos.com/comprar/apartamento-castillejos28020-33384566065_996542/,2024-08-19,pisos.com,Tetuán,Castillejos,6.0,63.0,Apartamento
Apartamento en venta en Calle N/A,Palacio (Distrito Centro. Madrid Capital),435000,1,1,40,3,10875,,https://www.pisos.com/comprar/apartamento-centro_palacio28005-35931287196_101800/,2024-10-19,pisos.com,Centro,Palacio,1.0,11.0,Apartamento
Apartamento en venta en Calle Postigo de San Martín,Sol (Distrito Centro. Madrid Capital),449000,1,1,50,2,8980,,https://www.pisos.com/comprar/apartamento-sol_barrio28013-47550171475_101800/,2024-10-19,pisos.com,Centro,Sol,1.0,16.0,Apartamento
