cod_municipio;municipio;cod_distrito;distrito;cod_barrio;barrio;codigo_Postal;num_personas;num_personas_hombres;num_personas_mujeres;total_transacciones;viv_nuevas_transacciones;viv_usadas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;num_lineas_buses;Renta neta media por persona;Renta neta media por hogar;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar;Habitantes;Hogares;Tamaño medio del hogar;Tamaño del hogar (Nº de personas en la vivienda);hog_con_1;hog_con_2;hog_con_3;hog_con_4;hog_con_5;hog_con_6;hog_con_7;hog_con_8;hog_con_9;hog_con_10;hog_con_11;hog_con_12;hog_con_13;hog_con_14;hog_con_15 y más
28079;Madrid;1; Centro;; Centro;;139.687;70.770;68.917;2.247;81;2.166;7;27;;2;181;756;20.587;41.059;22.050;27.030;53.908;139.687;70.318;1,99;34.155;19.867;8.273;4.588;1.802;750;388;162;101;74;43;36;20;11;48;48
28079;Madrid;2; Arganzuela;; Arganzuela;;153.304;71.754;81.550;1.317;133;1.184;4;9;;4;186;697;21.383;49.236;28.350;27.431;63.160;153.304;66.492;2,31;23.071;19.402;11.511;8.672;2.461;765;290;142;84;41;17;10;9;4;13;13
28079;Madrid;3; Retiro;; Retiro;;117.918;53.458;64.460;1.056;7;1.049;4;8;;;138;527;25.407;60.762;31.850;33.396;79.868;117.918;49.343;2,39;16.179;14.399;8.613;6.407;2.352;836;330;117;51;23;10;9;0;4;13;13
28079;Madrid;4; Salamanca;; Salamanca;;145.702;64.452;81.250;1.967;89;1.878;6;18;;1;186;;28.140;64.925;31.150;38.751;89.407;145.702;63.877;2,28;24.741;17.692;9.580;6.897;3.027;1.133;430;173;98;38;11;10;8;9;30;30
28079;Madrid;5; Chamartín;; Chamartín;;144.796;65.245;79.551;1.480;143;1.337;7;20;;1;275;;30.506;74.842;34.650;42.678;104.706;144.796;59.133;2,45;20.435;16.135;9.450;7.148;3.507;1.406;536;234;113;56;32;13;14;9;45;45
28079;Madrid;6; Tetuán;; Tetuán;;160.002;72.938;87.064;2.200;519;1.681;6;12;;;166;;18.062;42.465;20.650;22.890;53.816;160.002;68.311;2,34;25.992;18.858;10.376;7.151;2.931;1.446;704;365;202;119;70;36;21;12;28;28
28079;Madrid;7; Chamberí;; Chamberí;;138.204;61.149;77.055;1.846;152;1.694;9;22;;;151;;27.076;60.032;31.150;36.934;81.889;138.204;62.667;2,21;25.648;17.322;9.136;6.372;2.540;922;351;152;86;53;21;9;12;4;39;39
28079;Madrid;8; Fuencarral-El Pardo;; Fuencarral-El Pardo;;248.443;116.944;131.499;2.033;660;1.373;3;14;2;5;448;;21.947;58.214;28.350;28.798;76.386;248.443;92.887;2,67;23.923;25.430;18.298;15.878;5.847;1.956;777;358;198;71;53;32;13;5;48;48
28079;Madrid;9; Moncloa-Aravaca;; Moncloa-Aravaca;;121.757;56.357;65.400;1.075;148;927;6;14;1;3;351;;26.694;68.238;30.450;36.592;93.541;121.757;47.279;2,58;14.738;12.794;8.103;6.623;2.892;1.159;489;212;109;44;26;18;11;2;59;59
28079;Madrid;10; Latina;; Latina;;241.672;112.093;129.579;2.145;281;1.864;3;10;2;5;307;;14.375;35.669;18.550;17.267;42.843;241.672;97.250;2,49;30.102;29.047;17.193;12.270;4.384;1.987;1.047;552;307;163;82;39;31;15;31;31
