cod_municipio,municipio,cod_distrito,distrito,cod_barrio,barrio,codigo_Postal,num_personas,num_personas_hombres,num_personas_mujeres,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,num_lineas_buses,Renta neta media por persona,Renta neta media por hogar,Mediana de la renta por unidad de consumo,Renta bruta media por persona,Renta bruta media por hogar,Habitantes,Hogares,Tamaño medio del hogar,Tamaño del hogar (Nº de personas en la vivienda),hog_con_1,hog_con_2,hog_con_3,hog_con_4,hog_con_5,hog_con_6,hog_con_7,hog_con_8,hog_con_9,hog_con_10,hog_con_11,hog_con_12,hog_con_13,hog_con_14,hog_con_15 y más,Comercio y Servicios Minoristas,Entretenimiento y Ocio,Hostelería y Restauración,"Salud, Bienestar y Educación",Servicios Profesionales y Consultoría,Cultura y Entretenimiento
28079,Madrid,1,centro,1,centro,,139.687,70.77,68.917,7.0,27.0,,2.0,181.0,756.0,20.587,41.059,22.05,27.03,53.908,139.687,70.318,"1,99",34.155,19.867,8.273,4.588,1.802,750.0,388.0,162.0,101.0,74.0,43.0,36.0,20.0,11.0,48.0,48.0,,,,,,
28079,Madrid,2,arganzuela,2,arganzuela,,153.304,71.754,81.55,4.0,9.0,,4.0,186.0,697.0,21.383,49.236,28.35,27.431,63.16,153.304,66.492,"2,31",23.071,19.402,11.511,8.672,2.461,765.0,290.0,142.0,84.0,41.0,17.0,10.0,9.0,4.0,13.0,13.0,,,,,,
28079,Madrid,3,retiro,3,retiro,,117.918,53.458,64.46,4.0,8.0,,,138.0,527.0,25.407,60.762,31.85,33.396,79.868,117.918,49.343,"2,39",16.179,14.399,8.613,6.407,2.352,836.0,330.0,117.0,51.0,23.0,10.0,9.0,0.0,4.0,13.0,13.0,,,,,,
28079,Madrid,4,salamanca,4,salamanca,,145.702,64.452,81.25,6.0,18.0,,1.0,186.0,,28.14,64.925,31.15,38.751,89.407,145.702,63.877,"2,28",24.741,17.692,9.58,6.897,3.027,1.133,430.0,173.0,98.0,38.0,11.0,10.0,8.0,9.0,30.0,30.0,,,,,,
28079,Madrid,5,chamartin,5,chamartin,,144.796,65.245,79.551,7.0,20.0,,1.0,275.0,,30.506,74.842,34.65,42.678,104.706,144.796,59.133,"2,45",20.435,16.135,9.45,7.148,3.507,1.406,536.0,234.0,113.0,56.0,32.0,13.0,14.0,9.0,45.0,45.0,,,,,,
28079,Madrid,6,tetuan,6,tetuan,,160.002,72.938,87.064,6.0,12.0,,,166.0,,18.062,42.465,20.65,22.89,53.816,160.002,68.311,"2,34",25.992,18.858,10.376,7.151,2.931,1.446,704.0,365.0,202.0,119.0,70.0,36.0,21.0,12.0,28.0,28.0,,,,,,
28079,Madrid,7,chamberi,7,chamberi,,138.204,61.149,77.055,9.0,22.0,,,151.0,,27.076,60.032,31.15,36.934,81.889,138.204,62.667,"2,21",25.648,17.322,9.136,6.372,2.54,922.0,351.0,152.0,86.0,53.0,21.0,9.0,12.0,4.0,39.0,39.0,,,,,,
28079,Madrid,8,fuencarral-el pardo,8,fuencarral-el pardo,,248.443,116.944,131.499,3.0,14.0,2.0,5.0,448.0,,21.947,58.214,28.35,28.798,76.386,248.443,92.887,"2,67",23.923,25.43,18.298,15.878,5.847,1.956,777.0,358.0,198.0,71.0,53.0,32.0,13.0,5.0,48.0,48.0,,,,,,
28079,Madrid,9,moncloa-aravaca,9,moncloa-aravaca,,121.757,56.357,65.4,6.0,14.0,1.0,3.0,351.0,,26.694,68.238,30.45,36.592,93.541,121.757,47.279,"2,58",14.738,12.794,8.103,6.623,2.892,1.159,489.0,212.0,109.0,44.0,26.0,18.0,11.0,2.0,59.0,59.0,,,,,,
28079,Madrid,10,latina,10,latina,,241.672,112.093,129.579,3.0,10.0,2.0,5.0,307.0,,14.375,35.669,18.55,17.267,42.843,241.672,97.25,"2,49",30.102,29.047,17.193,12.27,4.384,1.987,1.047,552.0,307.0,163.0,82.0,39.0,31.0,15.0,31.0,31.0,,,,,,
28079,Madrid,11,carabanchel,11,carabanchel,,262.339,122.632,139.707,3.0,16.0,,,289.0,,12.764,33.786,16.45,15.239,40.339,262.339,98.591,"2,66",28.825,26.394,18.006,14.188,5.37,2.616,1.477,749.0,439.0,218.0,139.0,64.0,32.0,17.0,57.0,57.0,,,,,,
