nombre_estacion,cod_municipio,tipo_via,particula,nombre_via,cod_postal,cod_distrito,cod_barrio,lineas_buses
Pº INFANTA ISABEL Nº 25,79,Paseo,de la,Infanta Isabel,28014,3,-1,"10, 14, 26, 32, C1, N9, NC1"
TORPEDERO TUCUMAN-ALFONSO XIII,79,Calle,de,Torpedero Tucumán,28016,5,-1,52
Pº REINA CRISTINA-JULIAN GAYARRE,79,Paseo,de la,Reina Cristina,28014,3,-1,"10, 14, 26, 32, C2, N9, NC2"
AV.PIO XII-COMANDANTE FRANCO,79,Avda,de,Pío XII,28016,5,-1,"16, 29, 150, N1"
MQUES.DE ZAFRA-MQUES.MONDEJAR,79,Paseo,del,Marqués de Zafra,28028,4,-1,12
AV.BETANZOS-CHANTADA,79,Avda,de,Betanzos,28029,8,-1,42
JUAN ESPLANDIU Nº 9,79,Calle,de,Juan Esplandiu,28007,3,-1,215
Pº YESERIAS-ARGANDA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
VENTISQUERO CONDESA-VALLE DE ENMEDIO,79,Avda,del,Ventisquero de la Condesa,28034,8,-1,49
OFELIA NIETO-VILLAAMIL,79,Calle,de,Ofelia Nieto,28039,6,-1,"44, 128"
PTO.CRUZ VERDE-PTO.SERRANO,79,Calle,del,Puerto de la Cruz Verde,28045,2,-1,62
EMBAJADORES-AV.PLANETARIO,79,Calle,de,Embajadores,28045,2,-1,"62, T32"
CTRA.BOADILLA MONTE-MIRLO,79,Ctra,de,Boadilla del Monte,28024,10,-1,65
Pº CASTELLANA-DANIEL VAZQUEZ DIAZ,79,Paseo,de la,Castellana,28046,5,-1,"66, 173, 174, 175, 176, 178, SE704"
NTRA.SRA.VALVERDE-ISLAS JARVI,79,Calle,de,Nuestra Señora de Valverde,28034,8,-1,"66, 137, N24, SE704"
AVDA. RAMON Y CAJAL,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
VIRGEN ARANZAZU-ANGEL MUGICA,79,Calle,de la,Virgen de Aránzazu,28034,8,-1,"124, 137, N24"
Pº HABANA-CREVILLENTE,79,Paseo,de la,Habana,28036,5,-1,14
FCOS.RODRIGUEZ-ANTONIO MACHADO,79,Calle,de,Francos Rodríguez,28039,9,-1,64
MONFORTE DE LEMOS-JUNTA MUNICIPAL,79,Avda,de,Monforte de Lemos,28029,8,-1,"49, 83, 128, 132, 137, N22"
CANTALEJO-ARROYOFRESNO,79,Calle,de,Cantalejo,28035,8,-1,82
VALLE ENMEDIO-GTA.P.CORRALILLOS,79,Calle,del,Valle de Enmedio,28035,8,-1,49
CARRERA SAN FRANCISCO-SAN I.LABRADOR,79,Car,de,San Francisco,28005,1,-1,60
VENTISQUERO CONDESA-C.MINGUETE,79,Avda,del,Ventisquero de la Condesa,28034,8,-1,64
AV.JUAN HERRERA-MARTIN FIERRO,79,Avda,de,Juan de Herrera,28040,9,-1,"46, 160, 161, N20, N28"
EMBAJADORES - AVENIDA PLANETARIO,79,Calle,de,Embajadores,28045,2,-1,"62, T32"
SANTIAGO COMPOSTELA-PINTOR F.LLORENS,79,Calle,de,Santiago de Compostela,28034,8,-1,127
AV.DOCTOR ARCE-VELAZQUEZ,79,Avda,del,Doctor Arce,28002,5,-1,"16, 19"
AV.BETANZOS-CHANTADA,79,Avda,de,Betanzos,28029,8,-1,42
SAN FCO.DE SALES-GUZMAN EL BUENO,79,Paseo,de,San Francisco de Sales,28003,7,-1,"44, N21"
RONDA DE ATOCHA,79,Ronda,de,Atocha,28012,1,-1,"27, 34, 36, 41, 119, C03, C1, N12, N15, N17, NC1"
RAMIRO DE MAEZTU-Pº JUAN XXIII,79,Calle,de,Ramiro de Maeztu,28040,9,-1,"132, F"
AV.CONCHA ESPINA-SERRANO,79,Avda,de,Concha Espina,28016,5,-1,"7, 43, 120"
DR.FEDERICO RUBIO-ALMANSA,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127, N21"
Pº PRADO-BANCO DE ESPAÑA,79,Paseo,del,Prado,28014,1,-1,"1, 14, 27, 37, 45, C03, N13, N14"
GTA.SAN ANTONIO DE LA FLORIDA,79,Paseo,de la,Florida,28008,9,-1,"41, 46, 75, N20"
AV.BETANZOS-LA BAÑEZA,79,Avda,de,Betanzos,28029,8,-1,"42, 49, 126, 128, 147"
DARIO APARICIO-VIÑAS PARDO,79,Calle,de,Darío Aparicio,28023,9,-1,161
VALLEHERMOSO Nº 110,79,Calle,de,Vallehermoso,28003,7,-1,2
GRAL. AMPUDIA,79,Calle,del,General Ampudia,28003,7,-1,2
Pº YESERIAS-PQUE.ARGANZUELA,79,Paseo,de,Yeserías,28005,2,-1,"18, N12"
Pº HABANA-ALBERTO ALCOCER,79,Paseo,de la,Habana,28036,5,-1,14
Pº CHOPERA-PZA.GRAL.MAROTO,79,Paseo,de la,Chopera,28045,2,-1,"6, 18, 78, 148, N12, N14"
GRAL.PERON-ORENSE,79,Avda,del,General Perón,28020,6,-1,"43, 149"
ROSARIO PINO-CAPITAN HAYA,79,Calle,de,Rosario Pino,28020,6,-1,149
AV.RAMON Y CAJAL-MOSTOLES,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
AV.RAMON Y CAJAL-V.DE LA SERNA,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
ALBERTO ALCOCER-Pº DE LA HABANA,79,Calle,de,Alberto Alcocer,28036,5,-1,"11, 40"
LOS ASTROS-CRUZ DEL SUR,79,Calle,de los,Astros,28007,3,-1,"20, 30, 32, N8"
Pº IMPERIAL-GTA.PIRAMIDES,79,Paseo,NaN,Imperial,28005,2,-1,"36, 62"
ANTONIO MACHADO-VALDERREY,79,Calle,de,Antonio Machado,28035,9,-1,"127, 132, N21"
CANTALEJO-CHAPINERIA,79,Calle,de,Cantalejo,28035,8,-1,82
DR.FEDERICO RUBIO-JERONIMA LLORENTE,79,Avda,del,Doctor Federico Rubio y Galí,28039,6,-1,"44, 127, N21"
OFELIA NIETO-VILLAAMIL,79,Calle,de,Ofelia Nieto,28039,9,-1,"44, 128"
AV.DE VALLADOLID Nº 9,79,Avda,de,Valladolid,28008,9,-1,46
DR.ESQUERDO-IBIZA,79,Calle,del,Doctor Esquerdo,28009,3,-1,"2, 30, 56, 143, 156"
LOS ASTROS-CRUZ DEL SUR,79,Calle,de los,Astros,28007,3,-1,"20, 30, N8"
NURIA-PEÑA SIRIO,79,Calle,de,Nuria,28034,8,-1,"133, N23"
STO.A.DE LA GUARDA-GRAL.HIERRO MTNEZ.,79,Avda,de,Santo Ángel de la Guarda,28039,9,-1,"126, 127, 132, N21"
AV.BURGOS Nº 30,79,Avda,de,Burgos,28036,5,-1,"129, 150"
AVDA. ALFONSO XIII,79,Avda,de,Alfonso XIII,28016,5,-1,40
NTRA.SRA.VALVERDE-ISLAS JARVI,79,Calle,de,Nuestra Señora de Valverde,28034,8,-1,"66, 137, N24, SE704"
AVDA. RAMON Y CAJAL,79,Avda,de,Ramón y Cajal,28016,5,-1,"43, 120"
JUAN ESPLANDIU Nº 9,79,Calle,de,Juan Esplandiu,28007,3,-1,215
AV.LOS TOREROS-VILLAFRANCA,79,Avda,de los,Toreros,28028,4,-1,"53, 74"
AV.CDAD.BARCELONA-LUIS MITJANS,79,Avda,de la,Ciudad de Barcelona,28007,3,-1,"8, 10, 24, 37, 54, 56, 57, 136, 141, 310"
GRAL.ALVAREZ CASTRO-ELOY GONZALO,79,Calle,del,General Álvarez de Castro,28010,7,-1,149
PZA.DEL PERU,79,Plaza,del,Perú,28016,5,-1,51
GRAL.MTNEZ.CAMPOS-FDEZ.DE LA HOZ,79,Paseo,del,General Martínez Campos,28010,7,-1,"5, 16, 61"
AV.PLANETARIO-EMBAJADORES,79,Avda,del,Planetario,28045,2,-1,"148, 156, N13"
CERRO MINGUETE-RISCOS DE POLANCO,79,Calle,del,Cerro Minguete,28035,8,-1,"49, N21"
Pº ACACIAS-Pº OLMOS,79,Paseo,de las,Acacias,28005,2,-1,"34, 36, 62, 116, 118, 119, N12, N15"
