nombre_estacion,cod_municipio,tipo_via,particula,nombre_via,cod_postal,cod_distrito,cod_barrio,lineas_metro
NOVICIADO,79,Calle,de,San Bernardo,28015,1,11,"2, 3, 10"
OPERA,79,Plaza,de,Isabel II,28013,1,11,"2, 5, R"
OPERA,79,Plaza,de,Isabel II,28013,1,11,"2, 5, R"
SANTO DOMINGO,79,Calle,de,San Bernardo,28013,1,11,2
OPERA,79,Plaza,de,Isabel II,28013,1,11,"2, 5, R"
LA LATINA,79,Calle,de,San Millán,28005,1,12,5
PUERTA DE TOLEDO,79,Gta,de,Puerta de Toledo,28005,1,12,5
ANTON MARTIN,79,Calle,de,Atocha,28012,1,12,1
LAVAPIES,79,Plaza,de,Lavapiés,28012,1,12,3
TIRSO DE MOLINA,79,Plaza,de,Tirso de Molina,28012,1,12,1
ESTACION DEL ARTE,79,Plaza,del,Emperador Carlos V,28012,1,12,1
EMBAJADORES,79,Gta,de,Embajadores,28012,1,12,"3, 5"
SEVILLA,79,Calle,de,Alcalá,28014,1,13,2
TRIBUNAL,79,Calle,de,Fuencarral,28004,1,14,"1, 10"
CHUECA,79,Plaza,de,Chueca,28004,1,14,5
BANCO DE ESPAÑA,79,Calle,de,Alcalá,28014,1,14,2
ARGÜELLES,79,Calle,de,Alberto Aguilera,28015,1,15,"3, 4, 6"
PLAZA DE ESPAÑA,79,Calle,de los,Reyes,28015,1,15,"2, 3, 10"
VENTURA RODRIGUEZ,79,Calle,de la,Princesa,28008,1,15,3
TRIBUNAL,79,Calle,de la,Palma,28004,1,15,"1, 10"
SOL,79,Plaza,de la,Puerta del Sol,28013,1,16,"1, 2, 3"
SOL,79,Plaza,de la,Puerta del Sol,28013,1,16,"1, 2, 3"
SOL,79,Plaza,de la,Puerta del Sol,28013,1,16,"1, 2, 3"
GRAN VIA,79,Calle, ,Gran Vía,28013,1,16,"1, 5"
GRAN VIA,79,Calle, ,Gran Vía,28013,1,16,"1, 5"
CALLAO,79,Plaza,del,Callao,28013,1,16,"3, 5"
CALLAO,79,Plaza,del,Callao,28013,1,16,"3, 5"
ACACIAS,79,Paseo,de las,Acacias,28005,2,22,"3, 5"
PIRAMIDES,79,Paseo,del,Doctor Vallejo Nágera,28005,2,22,5
LEGAZPI,79,Plaza,de,Legazpi,28045,2,23,"3, 6"
LEGAZPI,79,Plaza,de,Legazpi,28045,2,24,"3, 6"
ARGANZUELA-PLANETARIO,79,Calle,del,Bronce,28045,2,25,6
DELICIAS,79,Paseo,de las,Delicias,28045,2,25,3
PALOS DE LA FRONTERA,79,Calle,de,Palos de la Frontera,28045,2,26,3
ATOCHA,79,Avda,de la,Ciudad de Barcelona,28007,2,27,1
MENDEZ ALVARO,79,Calle,del,Ombu,28045,2,27,6
PACIFICO,79,Avda,de la,Ciudad de Barcelona,28007,3,31,"1, 6"
MENENDEZ PELAYO,79,Avda,de la,Ciudad de Barcelona,28007,3,31,1
PACIFICO,79,Calle,de,Andalucía,28007,3,32,"1, 6"
IBIZA,79,Calle,de,Ibiza,28009,3,34,9
RETIRO,79,Calle,de,Alcalá,28009,3,35,2
CONDE DE CASAL,79,Plaza,del,Conde de Casal,28007,3,36,6
SAINZ DE BARANDA,79,Calle,del,Doctor Esquerdo,28007,3,36,"6, 9"
SAINZ DE BARANDA,79,Calle,del,Doctor Esquerdo,28007,3,36,"6, 9"
SERRANO,79,Calle,de,Goya,28001,4,41,4
VELAZQUEZ,79,Calle,de,Núñez de Balboa,28001,4,41,4
LISTA,79,Calle,del,Conde de Peñalver,28006,4,41,4
GOYA,79,Calle,de,Goya,28001,4,42,"2, 4"
PRINCIPE DE VERGARA,79,Calle,del,Príncipe de Vergara,28001,4,42,"2, 9"
GOYA,79,Calle,de,Alcalá,28009,4,42,"2, 4"
MANUEL BECERRA,79,Plaza,de,Manuel Becerra,28028,4,42,"2, 6"
PRINCIPE DE VERGARA,79,Calle,de,Alcalá,28009,4,42,"2, 9"
MANUEL BECERRA,79,Plaza,de,Manuel Becerra,28028,4,42,"2, 6"
O'DONNELL,79,Calle,del,Doctor Esquerdo,28028,4,43,6
VENTAS,79,Calle,de,Alcalá,28028,4,44,"2, 5"
PARQUE DE LAS AVENIDAS,79,Avda,de,Bruselas,28028,4,44,7
VENTAS,79,Calle,de,Alcalá,28028,4,44,"2, 5"
DIEGO DE LEON,79,Calle,de,Juan Bravo,28006,4,45,"4, 5, 6"
NUÑEZ DE BALBOA,79,Plaza,del,Marqués de Salamanca,28006,4,45,"5, 9"
DIEGO DE LEON,79,Calle,de,Francisco Silvela,28028,4,45,"4, 5, 6"
DIEGO DE LEON,79,Calle,de,Diego de León,28028,4,45,"4, 5, 6"
NUÑEZ DE BALBOA,79,Calle,de,Juan Bravo,28006,4,46,"5, 9"
SANTIAGO BERNABEU,79,Paseo,de la,Castellana,28046,5,51,10
REPUBLICA ARGENTINA,79,Calle,de,Joaquín Costa,28002,5,51,6
CARTAGENA,79,Avda,de,América,28002,5,52,7
ALFONSO XIII,79,Calle,de,López de Hoyos,28002,5,52,4
AVENIDA DE AMERICA,79,Avda,de,América,28002,5,52,"4, 6, 7, 9"
AVENIDA DE AMERICA,79,Avda,de,América,28002,5,52,"4, 6, 7, 9"
AVENIDA DE AMERICA,79,Avda,de,América,28002,5,52,"4, 6, 7, 9"
AVENIDA DE AMERICA,79,Avda,de,América,28002,5,52,"4, 6, 7, 9"
PROSPERIDAD,79,Plaza,de la,Prosperidad,28002,5,53,4
CONCHA ESPINA,79,Calle,del,Príncipe de Vergara,28002,5,53,9
CRUZ DEL RAYO,79,Calle,del,Príncipe de Vergara,28002,5,53,9
CUZCO,79,Paseo,de la,Castellana,28046,5,54,10
COLOMBIA,79,Calle,del,Príncipe de Vergara,28016,5,54,"8, 9"
COLOMBIA,79,Calle,del,Príncipe de Vergara,28016,5,54,"8, 9"
PIO XII,79,Avda,de,Pío XII,28016,5,55,9
CHAMARTIN,79,Calle,de,Agustín de Foxá,28036,5,56,"1, 10"
BAMBU,79,Calle,del,Bambú,28036,5,56,1
PLAZA DE CASTILLA,79,Paseo,de la,Castellana,28046,5,56,"1, 9, 10"
PLAZA DE CASTILLA,79,Paseo,de la,Castellana,28046,5,56,"1, 9, 10"
DUQUE DE PASTRANA,79,Calle,de,Mateo Inurria,28036,5,56,9
CHAMARTIN,79,Calle,de,Agustín de Foxá,28036,5,56,"1, 10"
CUATRO CAMINOS,79,Gta,de,Cuatro Caminos,28020,6,61,"1, 2, 6"
NUEVOS MINISTERIOS,79,Paseo,de la,Castellana,28046,6,62,"6, 8, 10"
NUEVOS MINISTERIOS,79,Calle,de,Raimundo Fernández Villaverde,28046,6,62,"6, 8, 10"
CUATRO CAMINOS,79,Gta,de,Cuatro Caminos,28020,6,62,"1, 2, 6"
CUATRO CAMINOS,79,Gta,de,Cuatro Caminos,28020,6,62,"1, 2, 6"
NUEVOS MINISTERIOS,79,Calle,de,Raimundo Fernández Villaverde,28046,6,62,"6, 8, 10"
ALVARADO,79,Calle,de,Bravo Murillo,28020,6,62,1
VALDEACEDERAS,79,Calle,de,Bravo Murillo,28020,6,63,1
TETUAN,79,Calle,de,Bravo Murillo,28020,6,63,1
PLAZA DE CASTILLA,79,Paseo,de la,Castellana,28046,6,64,"1, 9, 10"
VENTILLA,79,Avda,de,Asturias,28029,6,64,9
ESTRECHO,79,Calle,de,Bravo Murillo,28020,6,66,1
ARGÜELLES,79,Calle,de,Alberto Aguilera,28015,7,71,"3, 4, 6"
ARGÜELLES,79,Calle,de,Alberto Aguilera,28015,7,71,"3, 4, 6"
CANAL,79,Calle,de,Bravo Murillo,28015,7,72,"2, 7"
ALONSO MARTINEZ,79,Plaza,de,Alonso Martínez,28004,7,73,"4, 5, 10"
SAN BERNARDO,79,Gta,de,Ruiz Jiménez,28015,7,73,"2, 4"
ALONSO MARTINEZ,79,Calle,de,Manuel González Longoria,28010,7,73,"4, 5, 10"
