referencia_web,cantidad_visitas,m2_constr,dormitorios,banos,cantidad_armarios,consumo_energia,emisiones_CO2,cal_energetica,estado,ano_construccion,ascensor,orientacion,sistema_agua,calefaccion,tipo_suelo,cocina_equipada,garajes,m2_utiles,vista zona,Comunidad/personas edificio,Zonas verdes,terrazas,acceso_minusvalido,puerta_seguridad,conserje,plantas,N_piso,reservado/sin_reserva,url_piso/id,barrios,cod_barrio,distrito,cod_distrito,codigo_Postal,tipologia,url_website,descripcion_extendida,garaje,jardin,referencia,n.visitas,chimenea,lavadero,videoportero,title,precio,fecha_publicacion,aire_acondicionado,piscina,trastero,alarma,amueblado,cod_barrio_2,tipo_fachada,exterior
,,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,garaje,https://www.pisosmadrid.com.es/propiedad/3977845-local-en-venta-en-goya-madrid,Servicheck presenta las mejores plazas de garaje en una de las zonas mas exclusivas y demandadas de Madrid Con precios irresistibles de VEINTICINCO MIL EUROS 25000EUR y VEINTISIETE MIL EUROS 27000EUR asegura la comodidad y seguridad que tu vehiculo merece en un entorno privilegiadoIncreible oportunidad en Avenida de AsturiasEstas plazas de garaje ofrecen facil acceso y amplias dimensiones perfectas para cualquier tipo de coche Imagina la tranquilidad de saber que tu vehiculo esta seguro y a tu alcance en un barrio centrico y en constante crecimiento Aprovecha esta oferta exclusiva y disfruta de la tranquilidad de tener tu coche siempre cerca y protegido Ubicadas en un punto estrategico de la ciudad estas plazas son ideales para aquellos que valoran la seguridad y la conveniencia de un espacio de aparcamiento exclusivo No dejes pasar esta increible oportunidad de inversion Contacta con Servicheck hoy mismo y asegura el mejor lugar para tu coche en pleno corazon de Madrid Llamanos ahora y no pierdas la ocasion de asegurar una plaza de garaje en una de las mejores zonas de Madrid,0.0,0.0,PM3974960,70.0,0.0,0.0,0.0,Garaje en venta en Tetuan Madrid,25000.0,2024-08-01 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,garaje,https://www.pisosmadrid.com.es/propiedad/3947328-piso-en-venta-en-goya-madrid,Garaje 0 dormitorios 0 banos 0 garajes Cerrado en Madrid Madrid TUVALORSEGUROES agencia inmobiliaria de MADRID vende en exclusiva plaza de garaje en calle Palmeral de ElcheSe trata de una plaza de garaje cubierta Tiene unas dimensiones de 225x504 m2 Facil maniobrabilidadEl garaje cuenta con 2 puertas automaticas Para mas informacion contacte con nosotros sin ningun tipo de compromiso y concierte una cita para de conocer el inmuebleEl precio de venta no incluye el Impuesto de Transmisiones Patrimoniales 6 gastos notariales gastos registrales gastos de gestoria ni gastos de intermediacion 1210  IVA incluido que satisface el comprador,0.0,0.0,PM3945003,60.0,0.0,0.0,0.0,Garaje en venta en Pau Carabanchel Madrid,15500.0,2024-07-11 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,340,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,recoletos,41,salamanca,4,28001,negocio,https://www.pisosmadrid.com.es/propiedad/4001749-piso-en-venta-en-centro-madrid,TGG INMOBILIARIA vende en exclusiva NEGOCIO DE HOSTELERIA DE EXITO en amplio local comercialEstamos ante uno de los grandes restaurantes de Madrid tanto en beneficios resultantes como en calidad de producto que ofrece a sus comensalesEl restaurante se distribuye en cinco zonas una planta baja de 190 metros con cocina y amplio salon con techos altos de 7 metros   una terraza en la calle para 5 mesas una primera planta de salon privado de 75 metros  una zona de vestuarios y despacho profesional de otros 75 metros  y en la planta sotano un almacentrastero de 30 metros y dos plazas de garaje incluidas en el precio Asi mismo tiene la posibilidad de alquilar 30 plazas mas de aparcamiento de coche y otras 16 de motoEl prospero negocio cuenta con una clientela estable ganada a base de buen trabajo en los ultimos 15 anos asi como la aprobacion de numerosos rostros famosos que adoran su producto Tiene capacidad y licencia para 101 comensales Dispone de salida de humos calefaccion por gas natural  y aire acondicionado por conductos en todo el restauranteEste estupendo negocio tiene un ticket medio de 8090 euros por comensal y cuenta con lleno la mayoria de los mediodias de la semana Dispone de un amplisimo aparcamiento en el mismo edificio con aparcacoches y una reforma de diseno con piezas exquisitasNo dude en contactar con nosotros para conocer la ubicacion real ya que esta es orientativa Asimismo las fotos publicadas son de archivo por peticion del actual propietarioSI ESTA PENSANDO EN VENDER O ALQUILAR UNA PROPIEDAD CUENTE CON LA INMOBILIARIA MEJOR VALORADA DE NUESTRA ZONA TGG INMOBILIARIALos datos de este anuncio son meramente informativos no vinculantes ni contractuales y pueden ser susceptibles de contener errores Se informa al cliente que los gastos de notaria tasacion registro gestoria impuesto de transmisiones gastos financieros gastos de gestion u honorarios de intermediacion de la agencia yo cualquier otro gasto inherente a la compraventa no estan incluidos en el precio publicado y corresponden a la parte compradora,1.0,0.0,PM4000060,50.0,0.0,0.0,0.0,Negocio en venta en Recoletos Madrid,3000000.0,2024-08-29 00:00:00,0.0,0.0,1.0,1.0,1.0,1,,
,,399,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,local,https://www.pisosmadrid.com.es/propiedad/4040753-piso-en-venta-en-goya-madrid,Amplio local o nave de 399 m2 distribuido en dos plantas con una altura libre de 6 metros y un fondo de igual medida Con una fachada de 8 metros este establecimiento ofrece excelentes visibilidad tanto por su ubicacion estrategica como por su cercania a una de las principales avenidas del area El inmueble cuenta con preinstalacion para aire acondicionado y se encuentra situado en un barrio residencial consolidado que brinda todos los servicios necesarios incluyendo colegios supermercados y tiendas locales Ideal para cualquier tipo negocio dadas sus amplias dimensiones y la alta densidad demografica circundante,0.0,0.0,PM4040343,30.0,0.0,0.0,0.0,Local en venta en Fuencarral Madrid,409100.0,2024-09-26 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,442,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,recoletos,41,salamanca,4,28001,negocio,https://www.pisosmadrid.com.es/propiedad/3986238-piso-en-venta-en-centro-madrid,TGG INMOBILIARIA vende en exclusiva NEGOCIO DE HOSTELERIA DE EXITO en amplio local comercialDesde este momento por fin tiene la oportunidad de adquirir uno de los diez mejores restaurantes de Espana y mas valorados en Trip AdvisorCuenta con miles de seguidores en redes sociales como Instagram y la facturacion de este negocio es una de las mayores en hosteleria de MadridEl increible local que son dos locales unidos se distribuye en una sola planta baja de mas de 400 metros en la que se situa la barra principal el comedor y las cocinas Con capacidad para 150 personas este magnifico negocio con licencia permite apertura hasta las 200 de la manana de lunes a viernes y fines de semana hasta las 230 Dispone de salida de humos calefaccion por gas natural  y aire acondicionado por conductos en todo el restaurante Un numero uno en cocina espanola este prospero negocio de Madrid tiene un ticket medio de 7080 euros por comensal Cuenta con parking muy cercano una reforma de diseno neoyorkino y una amplia cartera de clientes nacionales y extranjeros afianzados durante  28 anosNo dude en contactar con nosotros para conocer la ubicacion exacta y toda la informacion ya que las imagenes publicadas son de archivo por expreso deseo del propietarioSI ESTA PENSANDO EN VENDER O ALQUILAR UNA PROPIEDAD CUENTE CON LA INMOBILIARIA MEJOR VALORADA DE NUESTRA ZONA TGG INMOBILIARIALos datos de este anuncio son meramente informativos no vinculantes ni contractuales y pueden ser susceptibles de contener errores Se informa al cliente que los gastos de notaria tasacion registro gestoria impuesto de transmisiones gastos financieros gastos de gestion u honorarios de intermediacion de la agencia yo cualquier otro gasto inherente a la compraventa no estan incluidos en el precio publicado y corresponden a la parte compradora,0.0,0.0,PM3984633,50.0,0.0,0.0,0.0,Negocio en venta en Recoletos Madrid,8000000.0,2024-08-09 00:00:00,0.0,0.0,0.0,1.0,1.0,1,,
,,45,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,local,https://www.pisosmadrid.com.es/propiedad/3919123-piso-en-venta-en-lavapies-madrid,ESRIV INMOBILIARIA REAL ESTATE vende Espectacular localoficinavivienda en la famosa calle GENERAL DIAZ PORLIER Este local esta reformado actualmente para entrar a vivir o a trabajar y cuenta con 45 metros cuadrados construidos bien distribuidos en 4 zonas segun entras por la puerta de madera de cerezo te encuentras con una gran estancia diafana con preinstalacion de cocina ventana directa a patio interior muy bien cuidado A tu mano derecha encuentras la primera habitacion con una ventana de aluminio con cristal doble que conecta con la sala principal Tenemos otra habitacion tambien con acceso directo desde la sala principal Al fondo cuentas con un bano que cuenta con todo lo necesario como pila retrete y plato de ducha ademas tiene ventana tambien al patio interior Como queda explicado hacer hincapie en que cuenta tambien con la preinstalacion de cocina americana y lavadora los suelos son de ceramica y tiene tanto antena colectiva como telefonilloLa vivienda cuenta con radiadores de calefaccion central en todas sus estancias El acceso a la vivienda es en planta  1 totalmente cuidado al detalle para el resto de oficinas y viviendas que estan en esta misma planta La zona donde se encuentra este local es idonea para cualquier negocio tanto administrativo como de otra indole a escasos metros tienes la calle de Alcala o de Ayala que son dos de las zonas mas importantes de Madrid Tambien le vemos mucho sentido para perfil corporativo que necesite trabajar desde casa compartir oficina y vivienda y para personas que estan destinadas a venir a Madrid habitualmente pero no quieren estar en apartamentos turisticos y hoteles Cualquier duda no dudes en llamarnos te recomendamos hacer una visita para que aprecies la gran opcion que te brindamos Juan 610229533,0.0,0.0,PM3916613,30.0,0.0,0.0,0.0,Local en venta en Goya Madrid,284300.0,2024-06-21 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,local,https://www.pisosmadrid.com.es/propiedad/3978749-piso-en-venta-en-arg%C3%BCelles-madrid,ESRIV Inmobiliaria Real Estate tiene el placer de anunciar esta excelente oportunidad de venta de local comercial en Fernan Gonzalez muy buena oportunidad para inversores ya que esta alquilado en la actualidadLa localizacion del inmueble es ideal ya que esta en pleno barrio de Salamanca y a un paso de zonas emblematicas como el Corte Ingles de Goya WiZink Center y Museo Casa de la MonedaLa fachada da a la calle principal y cuenta tanto como con puerta de entrada con una gran cristalera como con escaparate  cuenta con dos estancias y un bano y remarcar que esta a pie de calleContactanos para agendar tu visita y agendar una visita,0.0,0.0,PM3977845,60.0,0.0,0.0,0.0,Local en venta en Goya Madrid,550000.0,2024-08-02 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,703,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,local,https://www.pisosmadrid.com.es/propiedad/3955429-piso-en-venta-en-chamberi-madrid,Espectacular local en pleno centro de Madrid en una de las mejores zonas BARRIO DE SALAMANCA EL RETIROLocal de 43566 m2 dividido en un local en la planta baja a pie de calle de 15384 m2 otro en la entreplanta de 8692 m2 y el tercer local en la planta sotano de 1949 m2PRECIO 1200000EURGTOS COMUNIDAD 790EUR mesIBI 7985 y 1025 impuesto de basuraEl local es indivisible  En la actualidad hay una parte que esta arrendado a un restaurante ecuatoriano AYAWASKHA que segun contrato de arrendamiento del 13 de Noviembre de 2017 tiene una superficie de 211 M2 La otra parte se encuentra en la actualidad vacia,0.0,0.0,PM3955394,40.0,0.0,0.0,0.0,Local en venta en Goya Madrid,1200000.0,2024-07-17 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,828,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,goya,42,salamanca,4,28001,local,https://www.pisosmadrid.com.es/propiedad/4025932-piso-en-venta-en-goya-madrid,Magnifico local en rentabilidad en la calle FuencarralLa superficie se distribuye en dos plantas baja y sotano Tiene 3 metros de fachadaNo tiene salida de humosAlquilado a un grupo inversor especializado en la explotacion de la actividad que ocupa el local actualmenteRentabilidad neta del 4 sobre la media de la renta escalonada,0.0,0.0,PM4025841,50.0,0.0,0.0,0.0,Local en venta en Chamberi Madrid,1320000.0,2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,2,,
,,34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,recoletos,41,salamanca,4,28001,apartamento,https://www.pisosmadrid.com.es/propiedad/4004241-apartamento-en-venta-en-recoletos-madrid,THE AVENUE Select Real Estate presenta una fantastica posibilidad de inversion en el corazon de MalasanaEn el vibrante corazon del centrico barrio de Malasana de Madrid se encuentra una oportunidad unica Esta encantadora vivienda de 34 metros cuadrados es el epitome de la comodidad urbana y la elegancia contemporanea Estrategicamente situada en una segunda planta con ascensor esta propiedad ofrece un espacio inteligente y bien distribuido ideal para aquellos que buscan invertir en el mercado inmobiliario con una alta rentabilidadLa vivienda se presenta con un diseno cuidadosamente planificado que incluye un acogedor dormitorio un luminoso salon una moderna cocina totalmente equipada y un bano completo Los suelos de tarima anaden calidez y sofisticacion a cada rincon mientras que las ventanas de climalit no solo proporcionan aislamiento acustico y termico sino que tambien llenan el espacio con luz natural creando un ambiente acogedor y lleno de vidaEste apartamento con su diseno eficiente y su ubicacion privilegiada representa una oportunidad de inversion incomparable Malasana conocido por su ambiente bohemio y su vitalidad cultural atrae a inquilinos y turistas por igual Su popularidad constante garantiza una demanda sostenida de propiedades en la zona lo que se traduce en una alta tasa de ocupacion y rendimientos excepcionales para los inversoresAdemas la proximidad a una gran variedad de tiendas boutique cafeterias encantadoras restaurantes de renombre y lugares de entretenimiento asegura que los residentes disfruten de un estilo de vida lleno de comodidades y placeres La ubicacion central permite un facil acceso a las principales atracciones de la ciudad asi como a las conexiones de transporte publico lo que agrega un valor adicional a esta propiedad unicaEn resumen esta vivienda de 34m2 en Malasana es mucho mas que un espacio fisico es una oportunidad de inversion estrategica Con su diseno funcional y ubicacion insuperable representa la puerta de entrada a un mundo de posibilidades para inversores visionarios No pierdas la oportunidad de ser parte del vibrante tejido de Malasana y asegura tu inversion en un futuro financiero solido y prospero,0.0,0.0,PM4003228,50.0,0.0,0.0,0.0,Apartamento en venta en Chamberi Madrid,340000.0,2024-09-02 00:00:00,0.0,0.0,0.0,0.0,0.0,1,,
