titulo,precio,cantidad_visitas,fecha_publicacion,referencia,m2_constr,m2_utiles,dormitorios,banos,titularanuncio,descripcion_larga,amueblado,alarma,num_pisos,num_plantas,puerta_seguridad,acceso_minusvalido,porteria,terraza,zonas_verdes,planta,garaje,trastero,gastos_comunidad,tiene_piscina,exterior,tipo_fachada,tipo_suelo,calefaccion,aire_acondicionado,antiguedad,ascensor,agua_caliente,estado,emisiones_CO2,consumo_energia,armarios,orientacion,url,nombre_oficina,nuda_propiedad,web,fecha_descarga,tipologia,calle,distrito,cod_distrito,barrio,cod_barrio,codigo_Postal
"Piso en venta en CALLE BENIMAMET, San Cristóbal, Villaverde",106.5, 5857,02/04/2024,RP2842024125161,64.0, 60 ,2.0,1,ESTUPENDA VIVIENDA EN CALLE BENIMAMET,"Redpiso San Cristobal de los Ángeles, inscrito en el RAIN: 000517/20. En venta este inmueble de 64m² , ubicado en una 5º planta . Consta de 2 amplios dormitorios ( antes 3) con armarios empotrados, salón y cocina independientes, baño con plato de ducha . Además cuenta con aire acondicionado en salón , suelos de tarima .Muy luminoso!. PARA ENTRAR A VIVIR, NO DEJES PASAR ESTA OPORTUNIDAD. San Cristóbal de los Ángeles es un barrio del extrarradio de Madrid, humilde y lleno de vida. Rodeado de grandes zonas verdes, como nuestro precioso parque, conocido por su estanque. Un lugar ideal para pasear, hacer deporte o celebraciones al aire libre. La zona cuenta con comercios muy variados, un amplio mercado y dos supermercados, además de zonas para practicar deporte, como son una cancha de baloncesto, pistas donde poder jugar al tenis y un gran campo de futbol donde los pequeños pueden practicar y aprender su deporte favorito. También cuenta con varios colegios cercanos y un centro de educación secundaria. El barrio tiene muy buena comunicación, dos líneas de autobuses de la EMT (59 Y 79) y Metro ( Linea 3) parada San Cristóbal de los Ángeles, a 15 minutos de Sol. También contamos con parada de Cercanías RENFE, tan solo a 11 minutos de la estación de Atocha y 14 minutos de Sol. Carretera salida a la avenida de Andalucía con salidas próximas a la M30, M40, M45, M50. En el barrio se encuentran situados el Centro de Salud San Cristóbal y el Hospital de día Villaverde. El hospital 12 de Octubre está a diez minutos.",,,,,,,,,,,,,,,1,, Tarima normal,,1,Más de 50 años,, Individual, Perfecto Estado,,,,,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-benimamet-san-cristobal-villaverde-madrid-madrid-RP2842024125161,SAN CRISTOBAL,,redpiso,28/10/2024,Piso,CALLE BENIMAMET,Villaverde,17,San Cristóbal,172,28021
Piso en venta en Usera,119.0, 714,02/10/2024,RP782024130863,30.0, 27 ,1.0,1,ESTUDIO JARDINES DE YBARRA II,"Redpiso vende en exclusiva ACOGEDOR ESTUDIO en Jardines de Ybarra II, en el Poblado de Orcasitas. Consta de salón (dormitorio), cocina americana y baño con plato de ducha. Calefacción individual eléctrica, agua caliente por termo. Situado en zona muy tranquila y consolidada con todo tipo de comercios y servicios cercanos (Mercadona, centro de salud, instalaciones deportivas, colegios...). Comunicado con varias líneas EMT, Renfe de Orcasitas y accesos rápidos a A42 y M40. Fácil aparcamiento en la zona. Visítalo sin compromiso.",,,,,,,,,,,,,,,1,,,,,,, Individual, Perfecto Estado,,, 1, Sur,https://www.redpiso.es/inmueble/piso-en-venta-en-usera-madrid-madrid-RP782024130863,USERA-ORCASITAS,,redpiso,28/10/2024,Piso,,Usera,12,Orcasitas,121,28041
"Piso en venta en Buenavista, Carabanchel",120.0, 3387,26/04/2024,RP442024126007,37.0, 34 ,1.0,1,¡Tu nuevo hogar te espera en Buena Vista!,"Redpiso vende en exclusiva este encantador estudio a estrenar. Perfecto para aquellos que buscan comodidad, estilo y funcionalidad en un solo espacio.
Ubicado en planta bajo con orientación sur. Cuenta con una cocina americana y un baño moderno equipado con una amplia ducha. 
Dispone de calefacción eléctrica para una temperatura perfecta en invierno y termo para agua caliente.
Los suelos de tarima le dan un toque de elegancia, mientras que las puertas de madera lacadas en blanco añaden luminosidad a cada rincón.
Las ventanas de climalit nos ofrecen un excelente aislamiento térmico y acústico, garantizando confort en cualquier época del año.
Para mantener tus pertenencias organizadas, cuenta con un armario empotrado, maximizando el espacio disponible.
Su Ubicación  es privilegiada con acceso a todos los servicios necesarios, como supermercados, colegios, farmacias, bancos, restaurantes, el centro de salud Guayaba y áreas verdes para disfrutar al aire libre.
Excelentes Conexiones de Transporte, a tan solo 5 minutos a pie de la estación de metro Carabanchel Alto (Línea 6 - circular), disfrutarás de conexiones directas con el intercambiador de transportes de Plaza Elíptica. Además, varias líneas de autobuses de la EMT (35, 47, 481, 482, 491, 492, 493, N17, 108, 118, N16) te permiten moverte con facilidad por la ciudad. 
Si necesitas desplazarte en coche, la vivienda ofrece una excelente comunicación por carretera con rápido acceso a la M-40, M-45, R5 y A-42. 
Además se encuentra a pocos minutos de los centros comerciales Islazul y Sambil Outlet, lo que te brinda una amplia variedad de tiendas y opciones de entretenimiento.
¡No dejes pasar la oportunidad¡
En Redpiso, nos preocupamos por ti. Contamos con un departamento financiero propio que te ayudará a gestionar tu hipoteca. ¡¡Llámanos y te asesoramos TOTALMENTE GRATIS!! Confía en el líder en el mercado, ¡¡Nosotros SÍ vendemos!!. El precio no incluye impuestos, honorarios ni gastos de compraventa.",,,,,,,,,,,,,,,1,,,,,,,, Perfecto Estado,18 ,111 KW , 1, Sur,https://www.redpiso.es/inmueble/piso-en-venta-en-buenavista-carabanchel-madrid-madrid-RP442024126007,PAU CARABANCHEL,,redpiso,28/10/2024,Piso,,Carabanchel,11,Buenavista,116,28025
"Piso en venta en Buenavista, Carabanchel",120.0, 2924,10/05/2024,RP442024126427,33.0, 30 ,1.0,1,¡Tu nuevo hogar te espera en Buena Vista!,"Redpiso vende en exclusiva este encantador estudio a estrenar. Perfecto para aquellos que buscan comodidad, estilo y funcionalidad en un solo espacio.
Ubicado en planta baja con orientación oeste. Cuenta con una cocina americana y un baño moderno equipado con una amplia ducha. 
Dispone de calefacción eléctrica para una temperatura perfecta en invierno y termo para agua caliente.
Los suelos de tarima le dan un toque de elegancia, mientras que las puertas de madera lacadas en blanco añaden luminosidad a cada rincón.
Las ventanas de climalit nos ofrecen un excelente aislamiento térmico y acústico, garantizando confort en cualquier época del año.
Para mantener tus pertenencias organizadas, cuenta con un armario empotrado, maximizando el espacio disponible.
Su ubicación  es privilegiada con acceso a todos los servicios necesarios, como supermercados, colegios, farmacias, bancos, restaurantes, el centro de salud Guayaba y áreas verdes para disfrutar al aire libre.
Excelentes Conexiones de Transporte, a tan solo 5 minutos a pie de la estación de metro Carabanchel Alto (Línea 6 - circular), disfrutarás de conexiones directas con el intercambiador de transportes de Plaza Elíptica. Además, varias líneas de autobuses de la EMT (35, 47, 481, 482, 491, 492, 493, N17, 108, 118, N16) te permiten moverte con facilidad por la ciudad. 
Si necesitas desplazarte en coche, la vivienda ofrece una excelente comunicación por carretera con rápido acceso a la M-40, M-45, R5 y A-42. 
Además se encuentra a pocos minutos de los centros comerciales Islazul y Sambil Outlet, lo que te brinda una amplia variedad de tiendas y opciones de entretenimiento.
¡No dejes pasar la oportunidad¡
En Redpiso, nos preocupamos por ti. Contamos con un departamento financiero propio que te ayudará a gestionar tu hipoteca. ¡¡Llámanos y te asesoramos TOTALMENTE GRATIS!! Confía en el líder en el mercado, ¡¡Nosotros SÍ vendemos!!. El precio no incluye impuestos, honorarios ni gastos de compraventa.",,,,,,,,,,,,,,,,,,,,,, Individual, Perfecto Estado,24 ,145 KW , 1, Oeste,https://www.redpiso.es/inmueble/piso-en-venta-en-buenavista-carabanchel-madrid-madrid-RP442024126427,PAU CARABANCHEL,,redpiso,28/10/2024,Piso,,Carabanchel,11,Buenavista,116,28025
"Piso en venta en CALLE BENIFERRI, San Cristóbal, Villaverde",127.5, 485,12/09/2024,RP2842024130186,58.0, 50 ,3.0,1,VIVIENDA EN CALLE BENIFERRI,"Redpiso San Cristobal de los Ángeles, inscrito en el RAIN: 000517/20. En venta este inmueble de 58m² , ubicado en una 2º planta CON ASCENSOR, exterior. Consta de 3 dormitorios, salón, baño con plato de ducha y cocina. Dispone de calefacción individual de gas natural, A/A en salón, ventanas de climalit y terraza. PARA ENTRAR A VIVIR, NO DEJES PASAR ESTA OPORTUNIDAD. San Cristóbal de los Ángeles es un barrio del extrarradio de Madrid, humilde y lleno de vida. Rodeado de grandes zonas verdes, como nuestro precioso parque, conocido por su estanque. Un lugar ideal para pasear, hacer deporte o celebraciones al aire libre. La zona cuenta con comercios muy variados, un amplio mercado y dos supermercados, además de zonas para practicar deporte, como son una cancha de baloncesto, pistas donde poder jugar al tenis y un gran campo de futbol donde los pequeños pueden practicar y aprender su deporte favorito. También cuenta con varios colegios cercanos y un centro de educación secundaria. El barrio tiene muy buena comunicación, dos líneas de autobuses de la EMT (59 Y 79) y Metro ( Linea 3) parada San Cristóbal de los Ángeles, a 15 minutos de Sol. También contamos con parada de Cercanías RENFE, tan solo a 11 minutos de la estación de Atocha y 14 minutos de Sol. Carretera salida a la avenida de Andalucía con salidas próximas a la M30, M40, M45, M50. En el barrio se encuentran situados el Centro de Salud San Cristóbal y el Hospital de día Villaverde. El hospital 12 de Octubre está a diez minutos.",,,,,,,,,,,,,,,1,, Terrazo, Gas Natural,1,,1, Gas natural, Perfecto Estado,,,,,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-beniferri-san-cristobal-villaverde-madrid-madrid-RP2842024130186,SAN CRISTOBAL,,redpiso,28/10/2024,Piso,CALLE BENIFERRI,Villaverde,17,San Cristóbal,172,28021
Piso en venta en Villaverde,129.0, 3366,12/02/2024,RP472024123591,101.0, 81 ,3.0,1,,"Redpiso Villaverde Alto gestiona la venta de vivienda en cuarta planta de 101 m2 muy luminosa para actualizar; está distribuida en 3 dormitorios, salón, cocina, baño, trastero y terraza. 
La vivienda dispone de agua y calefacción por Gas Natural individual. Los suelos son de terrazo, ventanas de aluminio, puertas interiores de sapelli y puerta principal blindada. 
La vivienda dispone de aire acondicionado con bomba de frio y calor en dos de los dormitorios. 
Se encuentra a 3 minutos de Metro y RENFE de Villaverde Alto. Al lado de todo tipo de comercios y servicios tales como supermercados, tiendas, bancos, centro de salud, farmacias, parques, institutos y colegios. 
A 5 minutos de carreteras como M-30; M-40; M-45; Avenida de Andalucía, carretera de Toledo y centro comercial “Westfield ParqueSur”. ¡Visite sin compromiso! Agencia inscrita en RAIN Nº 000596/20 con lo que os ofrecemos servicio completo de personal formado. Profesionales con más de 20 años de experiencia. Además disponemos de seguro de caución y responsabilidad civil para que su señal esté protegida!",,,,,,,,,,4.0,,1,,,1,,, Gas Natural,1,Más de 50 años,, Gas natural,,,,,,https://www.redpiso.es/inmueble/piso-en-venta-en-villaverde-madrid-madrid-RP472024123591,VILLAVERDE ALTO,,redpiso,28/10/2024,Piso,,Villaverde,17,Villaverde Alto,171,28021
"Piso en venta en Buenavista, Carabanchel",130.0, 779,10/05/2024,RP442024126442,34.0, 31 ,1.0,1,¡Tu nuevo hogar te espera en Buena Vista!,"¡Descubre esta estupenda vivienda a estrenar, en exclusiva con Redpiso! 
Situada en planta baja con orientación sur.
Su diseño integra el salón con una cocina americana, creando un ambiente acogedor.
El dormitorio con su baño en suite, garantizan tu comodidad y privacidad. Además cuenta con un armario empotrado para mantener tus pertenencias organizadas.
Equipada con calefacción eléctrica y termo para agua caliente, esta vivienda te asegura una temperatura perfecta en todas las estaciones. 
Los suelos de tarima aportan elegancia, mientras que las puertas de madera lacadas en blanco añaden luminosidad a cada rincón.
Disfruta del confort gracias a las ventanas de climalit, que ofrecen un excelente aislamiento térmico y acústico.
Su ubicación privilegiada te brinda acceso a todos los servicios necesarios, desde supermercados hasta centros educativos, bancos y restaurantes. Con excelentes conexiones de transporte, estarás a solo minutos de la estación de metro Carabanchel Alto y varias líneas de autobuses de la EMT. (35, 47, 481, 482, 491, 492, 493, N17, 108, 118, N16).
Para los desplazamientos en coche, disfruta de una excelente comunicación por carretera con acceso rápido a importantes vías como la M-40, M-45, R5 y A-42. 
Además, estarás cerca de los centros comerciales Islazul y Sambil Outlet, ofreciéndote una amplia variedad de tiendas y opciones de entretenimiento.
¡No dejes pasar esta oportunidad!
En Redpiso, nos preocupamos por ti. Contamos con un departamento financiero propio que te ayudará a gestionar tu hipoteca. ¡!Llámanos y te asesoramos TOTALMENTE GRATIS!! Confía en el líder en el mercado, ¡Nosotros SÍ vendemos! 
El precio no incluye impuestos, honorarios ni gastos de compraventa.",,,,,,,,,,,,,,,1,,,,,,,, Perfecto Estado,17 ,104 KW , 1, Sur,https://www.redpiso.es/inmueble/piso-en-venta-en-buenavista-carabanchel-madrid-madrid-RP442024126442,PAU CARABANCHEL,,redpiso,28/10/2024,Piso,,Carabanchel,11,Buenavista,116,28025
"Piso en venta en PLAZA ARTEIJO, Pilar, Fuencarral-El Pardo",135.0, 1856,27/09/2023,RP122023118960,48.0, 40 ,1.0,1,REDPISO BARRIO DEL PILAR VENDE PISO EN PLAZA DE ARTEIJO,"Redpiso Barrio del Pilar vende en exclusiva magnífica vivienda. Se trata de una planta baja con orientación sur. La vivienda de 48m² construidos y 40m² útiles (según catastro), se distribuye en: amplio salón con terraza, un dormitorio, cocina y baño. En cuanto a las características de la vivienda cabe mencionar que cuenta paredes lisas, suelo de parqué, puertas de madera y trastero comunitario (a compartir con otros dos vecinos de la finca). Además, la finca cuenta con ascensor y portero físico. Respecto a la zona, en cambio, cabe mencionar que está consolidada con todo tipo de servicios como restaurantes, centro de salud, farmacias, supermercados, colegios, parques, gimnasios y zonas verdes y se encuentra a muy pocos minutos del centro comercial “La Vaguada”. Está muy bien comunicado con la M-30, el Metro Barrio del Pilar (línea 9), el Metro de Peñagrande (línea 7) y múltiples líneas de autobús muy cercanas. ¡No se pierda esta magnífica oportunidad y venga a visitarlo!",,,,,,,,,,,,1,,,1,,,,,,1,, A reformar,,, 1, Sur,https://www.redpiso.es/inmueble/piso-en-venta-en-plaza-arteijo-pilar-fuencarral-el-pardo-madrid-madrid-RP122023118960,BARRIO DEL PILAR,,redpiso,28/10/2024,Piso,PLAZA ARTEIJO,Fuencarral-El Pardo,8,Pilar,84,28029
"Piso en venta en CALLE AZCOITIA, Buenavista, Carabanchel",136.0, 1067,21/09/2024,RP2492024130519,56.0, 52 ,3.0,1,,"Redpiso Carabanchel Alto vende en exclusiva estupenda vivienda para entrar a vivir en la planta baja del edificio. Distribuida en 3 dormitorios, salón, cocina, cuarto de baño con plato de ducha y trastero dentro de la vivienda. Tiene múltiples posibilidades. Los suelos de la vivienda son de tarima, puertas de madera y las ventanas de aluminio lacadas en blanco con cristal de climalit. Calefacción individual de Gas Natural. A tan solo 2 minutos del Parque de las Cruces, se encuentra a 6 minutos andando del Metro de Carabanchel Alto (línea 11) y a pocos metros de distintas paradas de autobús como las líneas urbanas 34, 139 y la línea interurbana 486. La ubicación del piso es excelente, ya que, cuenta con todos los servicios necesarios para el día a día como supermercados (Día y Mercadona) y demás comercios en la zona, centro médico (Centro de Salud Primaria Aguacate), centros docentes (M.ª Inmaculada, Marianistas y Amorós). A 7 minutos en coche del Centro Comercial de Islazul y con acceso desde la Avenida de los Poblados y la M-40. Redpiso Buenavista lleva desde 2010 ofreciendo los mejores inmuebles y al mejor precio del mercado, formada por un grupo de profesionales a su servicio. Contamos con un departamento financiero propio que le puede gestionar su hipoteca con posibilidad del 100% de financiación si se cumplen las condiciones exigidas. Llámenos y le asesoramos. TOTALMENTE GRATIS. La confianza de un líder. Nosotros sí vendemos. ¡Visite sin compromiso! ***De acuerdo con el RD 515/1989, del 21 de abril, se informa al cliente que los gastos notariales, registrales, I. T. P. o equivalente, gastos financieros y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda.",,,,,,,,,1,,,1,,,1,,,,,,, Individual, Perfecto Estado,,,,,https://www.redpiso.es/inmueble/piso-en-venta-en-calle-azcoitia-buenavista-carabanchel-madrid-madrid-RP2492024130519,CARABANCHEL ALTO,,redpiso,28/10/2024,Piso,CALLE AZCOITIA,Carabanchel,11,Buenavista,116,28025
Piso en venta en San Blas-Canillejas,137.26, 6267,23/01/2024,RP492024122820,56.0,,2.0,1,VIVIENDA PARA ENTRAR A VIVIR!,"SEGUNDA PLANTA DE 56 M2. EXTERIOR Y LUMINOSO. ESTADO PARA ENTRAR A VIVIR. LA VIVIENDA TIENE UNA DISTRIBUCION DE DOS DORMITORIOS. EL DORMITORIO PRINCIPAL CON AIRE ACONDICIONADO, AMPLIO SALON, BAÑO CON PLATO DE DUCHA Y VENTANA, AMPLIA COCINA CON BUENA DISTRIBUCION Y CON DOS ENTRADAS.  CERCA DEL METRO DE LA LINEA 7, PARADAS DE AUTOBUSES 38, 48. BUENA COMUNICACION CON COLEGIOS E INSTITUTOS, COMERCIOS Y ZONAS VERDES. BUENA OPORTUNIDAD! PARA INVERSORES O PRIMERA VIVIENDA. VEN A VISITARLO!",,,,,,,,,,,,,,,1, Ladrillo, Gres, Eléctrica,1,,,, Perfecto Estado,,,,,https://www.redpiso.es/inmueble/piso-en-venta-en-san-blas-canillejas-madrid-madrid-RP492024122820,SAN BLAS-LAS ROSAS,,redpiso,28/10/2024,Piso,, San Blas-Canillejas,20,Rosas,205,28037
