Unnamed: 0,url,title,precio,dormitorios,banos,m2_constr,referencia,tipologia,planta,descripcion_larga,area,piscina,garaje,jardin,fecha_publicacion,num_visitas,calefaccion,trastero,amueblado,chimenea,videoportero,alarma,aire_acondicionado,barrio,cod_barrio,distrito,cod_distrito,codigo_Postal,nuda_propiedad,tiene_piscina,letrace,estado,gastos_comunidad,ascensor,ano_construccion,terraza,porteria,balcon,cocina,inmueble_ingresos,portero,exterior,armarios,plantas_edificio,lujo,orientacion_este,interior,orietacion_oeste,orientacion_sur,aire_ acondicionado,inmueble_ingresps,num_plantas,Lujo,calle,web,fecha_descarga
0,https://www.pisosmadrid.com.es/propiedad/3863841-piso-en-venta-en-madrid,Piso en venta en Madrid,60000,3,1,54.0,3863841,Piso,,"PISO EN MADRID. ~Vivienda situada en Avenida Palomeras, en Madrid. VIVIENDA CON INCIDENCIAS: INMUEBLE SIN POSESIÓN. ~~El estado de ocupado y/o los impedimentos para que el inmueble pueda ser visitado libremente por los técnicos impiden su tasación oficial conforme exige la Orden ECO/805/2003, de 27 de marzo, por lo que el inmueble, mientras perdure la situación, no podrá ser hipotecado, con lo cual la compra sería al CONTADO. ~~Este inmueble ha sido adquirido por el Vendedor, pero aún no se ha tomado la posesión, al estar OCUPADO. El Adquirente asumirá; la situación física y estado de conservación; la situación urbanística; las discrepancias entre la realidad física y la realidad registral y catastral o en la cabida del Inmueble; la adecuación registral y catastral del Inmueble; y los tramites que conlleven la obtención de la Posesión Judicial del Inmueble y/o posibles acuerdos extrajudiciales con el ocupante en el caso de haberlo.~~Honorarios de gestión no incluidos en el precio de compra.~~VENDE SINERGIA INVESTMENT – 613 508 666 – 854 53 53 59~~www.inmobiliariasinergia.es",,0.0,0.0,0.0,2024-05-17,12.0,,,,,,,,PALOMERAS BAJAS     ,1.0,Puente De Vallecas,13.0,28018.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Palomeras,",pisosmadrid,24/10/2024
1,https://www.pisosmadrid.com.es/propiedad/3865872-piso-en-venta-en-montecarmelo---el-goloso-madrid,"Piso en venta en Montecarmelo - El Goloso, Madrid",825000,4,2,142.0,3865872,Piso,,"600 Aprovecha esta oportunidad de compra de esta exclusiva vivienda de 4 espaciosos dormitorios en la mejor zona de Madrid y en comunidad privada con dos piscinas, una de ellas exclusiva para que disfruten los más pequeños. Con toda la carpintería renovada, la vivienda cambia el color marrón original en puertas y rodapiés por el blanco, ganando una luminosidad que se expande por toda la vivienda. Recién pintada cuenta también con ventanas oscilobatientes de máxima calidad recientemente instaladas, con rotura de puente térmico para aislar mejor la vivienda y ganar eficiencia energética, consiguiendo un ahorro en costes y mejora del medio ambiente. Las persianas eléctricas se acaban de incorporar a la vivienda, cada una con su propio mando, y además cuenta con uno universal para todas ellas (a excepción del dormitorio principal). El suelo de madera brilla recién barnizado. Qué maravilla poder disfrutar de esta vivienda de 4 dormitorios, probablemente de los más grandes y espaciosos de todo Montecarmelo. La cocina, completamente equipada, cuenta además con un amplio office para ubicar lavadora y secadora. Cuenta con aire acondicionado y bomba de calor, además de gas natural. Y por supuesto con una plaza de garaje y trastero para que puedas guardar las bicicletas que usarás por todos los km de carril bici que conecta Montecarmelo con el resto de Madrid. En la mejor zona de Montecarmelo, muy cerquita del centro comercial, con salida a una tranquila calle peatonal, ideal para niños, y a un paso del acceso a M30 y M40, cuenta además con transporte público y otros servicios como colegios públicos, concertados y privados, entre ellos el Alemán; varios supermercados, gimnasios, la magnífica Ciudad de la Raqueta y el Centro Nacional de Golf. Además en breve entre estos servicios se incluirán un nuevo centro de salud y una biblioteca que ya están en construcción. ¿Se puede pedir más?",Montecarmelo - El Goloso,1.0,1.0,1.0,2024-05-18,15.0,1.0,1.0,,,,,,El Goloso,88.0,Fuencarral-El Pardo,8.0,28049.0,,,,,,,,,,,,,,,,,,,,,,,,,,de,pisosmadrid,24/10/2024
2,https://www.pisosmadrid.com.es/propiedad/3865902-piso-en-venta-en-malasana-madrid,"Piso en venta en Malasaña, Madrid",760000,5,3,170.0,3865902,Piso,,"104 ¡Increíble oportunidad de inversión en el corazón de Madrid! Este espectacular inmueble de 170 metros cuadrados se encuentra ubicado en la prestigiosa Calle Barco, a escasos metros de la Gran Vía, el epicentro del turismo en la capital de España. El inmueble se divide en dos viviendas totalmente independientes, contando una de ellas con dos dormitorios más uno, salón, comedor, cocina abierta, baño y aseo en un dormitorio. El otro piso cuenta con tres dormitorios, dos baños, salón-comedor y cocina. La inversión perfecta para aquellos que deseen obtener una alta rentabilidad encontrándose a pocos pasos de los lugares más visitados de la capital. Ya sea para alquiler a corto plazo o como una propiedad para desarrollar un negocio turístico, es una oportunidad única Con 170 metros cuadrados de espacio y una ubicación inigualable en el corazón de la ciudad, su inversión en este inmueble promete un retorno atractivo y estable en uno de los principales destinos turísticos del país. Sus calles rebosan de cultura, historia y vida, atrayendo a millones de visitantes cada año. La zona centro de Madrid, donde se ubica este inmueble, es especialmente emblemática. Contacta con nosotros para más información.",Malasaña,0.0,0.0,0.0,2024-05-18,20.0,,,,,,,,Universidad,15.0,Centro,1.0,28015.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Barco,",pisosmadrid,24/10/2024
3,https://www.pisosmadrid.com.es/propiedad/3865903-piso-en-venta-en-pueblo-nuevo-madrid,"Piso en venta en Pueblo Nuevo, Madrid",185000,1,1,75.0,3865903,Piso,bajo,"104 Excepcional local bajo tipo loft, transformado en una moderna vivienda ideal para inversión con una alta rentabilidad de alquiler. Esta propiedad se encuentra ubicada en una de las zonas más codiciadas de Madrid, cercana a calle Alcalá y Arturo Soria. Vivienda funcional que brindando un espacio amplio y luminoso que seguramente atraerá la atención de inquilinos. La cocina se integra con el salón, creando un espacio ideal. Además, esta magnífica vivienda dispone de un dormitorio, proporcionando privacidad y comodidad a sus futuros inquilinos. Se trata de una opción muy atractiva para aquellos que buscan vivir en un área muy demandada de Madrid. Rodeado de todo tipo de servicios, como tiendas, restaurantes, parques y cercanía al centro mediante transporte público. Además, no podemos dejar de mencionar la gran oportunidad de inversión que representa esta propiedad. Gracias a su ubicación privilegiada y la alta demanda de alquiler en la zona, se puede esperar una excelente rentabilidad ¡No pierda esta oportunidad de oro! Contacte con nosotros para obtener más información y concertar una visita a esta fabulosa propiedad. Estamos encantados de ayudarle a hacer realidad sus sueños de inversión inmobiliaria en Madrid.",Pueblo Nuevo,0.0,0.0,0.0,2024-05-18,11.0,,,,,,,,Pueblo Nuevo,152.0,Ciudad Lineal,15.0,28017.0,,,,,,,,,,,,,,,,,,,,,,,,,,Alcalá,pisosmadrid,24/10/2024
4,https://www.pisosmadrid.com.es/propiedad/3866311-piso-en-venta-en-villaverde-madrid,"Piso en venta en Villaverde, Madrid",86000,3,1,60.0,3866311,Piso,,"¡¡OPORTUNIDAD, IDEAL INVERSORES!! EL INMUEBLE SE ENCUENTRA OCUPADO por persona sin justo título. Debido al estado ocupacional del inmueble no se pueden realizar visitas al mismo.~~Vivienda exterior de tres dormitorios, salón comedor, balcón, baño y cocina, situada en una tercera planta sin ascensor. ~~Perfectamente comunicada con transportes públicos, a 300 metros de Renfe ""Puente Alcocer"", cerca de metro ""Villaverde Alto"" y varias líneas de bus, todo tipo de servicios y comercios alrededor.~",Villaverde,0.0,0.0,0.0,2024-05-19,13.0,,,,,,,,Villaverde Alto,171.0,Villaverde,17.0,28021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,pisosmadrid,24/10/2024
5,https://www.pisosmadrid.com.es/propiedad/3866604-apartamento-en-venta-en-malasana-madrid,"Apartamento en venta en Malasaña, Madrid",839000,3,3,110.0,3866604,Apartamento,3.0,"*Inmueble Reformado en Calle San Bernardo*~~Descubre este magnífico inmueble totalmente reformado, ubicado en la tercera planta de la calle San Bernardo. La propiedad cuenta con terminaciones de alta calidad y un diseño excepcional.~~•⁠ * 3 espaciosas habitaciones.~•⁠ * 3 baños, dos de ellos en suite.~~•⁠ Se entrega completamente amueblado con muebles de diseño hechos a medida y acabados en madera.~~•⁠ Excelente iluminación mediante luces LED.~~Este inmueble ofrece un ambiente moderno y acogedor, perfecto para quienes buscan comodidad y estilo en una ubicación privilegiada.~~Espero que sea de tu agrado. Si necesitas algún ajuste o información adicional, no dudes en decírmelo.",Malasaña,0.0,0.0,0.0,2024-05-19,13.0,,,,,,,,Universidad,15.0,Centro,1.0,28015.0,,,,,,,,,,,,,,,,,,,,,,,,,,San,pisosmadrid,24/10/2024
6,https://www.pisosmadrid.com.es/propiedad/3866605-apartamento-en-venta-en-ibiza-madrid,"Apartamento en venta en Ibiza, Madrid",1329000,3,2,173.0,3866605,Apartamento,2.0,"Descubre este impresionante piso, completamente reformado y amueblado, ubicado en la emblemática dirección de Fernán González . Este inmueble de 188 m2 se encuentra en una segunda planta exterior, ofreciéndote vistas encantadoras de la ciudad. Con un diseño elegante y funcional, cuenta con 3 espaciosas habitaciones, cada una con su propio baño en suite para tu comodidad y privacidad. Además, encontrarás un aseo adicional para tus invitados. La cocina, amplia y luminosa, te brinda el espacio perfecto para crear tus platos favoritos, mientras que el comedor y el salón independientes te ofrecen espacios para el entretenimiento y descanso. Con un cuarto de lavado incluido, este hogar está diseñado para cubrir todas tus necesidades. ¡Ven y descubre la combinación perfecta de estilo, comodidad y conveniencia en Fernán González !",Ibiza,0.0,0.0,0.0,2024-05-19,12.0,,,,,1.0,,,Ibiza,34.0,Retiro,3.0,28009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,pisosmadrid,24/10/2024
7,https://www.pisosmadrid.com.es/propiedad/3866606-apartamento-en-venta-en-fuente-del-berro-madrid,"Apartamento en venta en Fuente del Berro, Madrid",679000,2,2,67.0,3866606,Apartamento,,"La propiedad en la Calle Ortega y Gasset , en Madrid, es un piso reformado que presenta una distribución moderna y funcional. Cuenta con 2 habitaciones y 2 baños, ofreciendo un espacio adecuado para una vida cómoda. El salón está integrado con una cocina americana, proporcionando una sensación de amplitud y modernidad.~~Además, el piso destaca por su carpintería artesanal, una cocina de alta calidad y un sistema de iluminación que permite crear diferentes ambientes según la ocasión. Se entrega completamente amueblado, lo que facilita la mudanza y permite disfrutar del espacio desde el primer día.~~Una vivienda lista para entrar a vivir, con acabados de alta calidad y un diseño cuidado.",Fuente del Berro,0.0,1.0,0.0,2024-05-19,11.0,1.0,,,,,,,Fuente del Berro,43.0,Salamanca,4.0,28028.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ortega,pisosmadrid,24/10/2024
8,https://www.pisosmadrid.com.es/propiedad/3866607-apartamento-en-venta-en-salamanca-madrid,"Apartamento en venta en Salamanca, Madrid",1649000,3,3,150.0,3866607,Apartamento,,"Descubre esta espectacular vivienda completamente reformada, lista para estrenar, ubicada en la calle Velázquez . Situada en una preciosa finca con fachada clásica y portería, este piso exterior de 162 m2 ofrece un espacio luminoso y amplio. Con 3 habitaciones, cada una con baño en suite, además de un aseo y un cuarto de lavado, esta propiedad ha sido diseñada con inteligencia y elegancia para ofrecerte el máximo confort. Disfruta de una cocina amplia e integrada con la sala, ideal para tus reuniones sociales y momentos en familia. Ven y descubre el lujo y la comodidad que te espera en este distinguido barrio de Madrid",Salamanca,0.0,0.0,0.0,2024-05-19,13.0,1.0,,1.0,,1.0,,,Lista,45.0,Salamanca,4.0,28006.0,,,,,,,,,,,,,,,,,,,,,,,,,,Velázquez,pisosmadrid,24/10/2024
9,https://www.pisosmadrid.com.es/propiedad/3866835-piso-en-venta-en-san-diego-madrid,"Piso en venta en San Diego, Madrid",144900,2,1,63.0,3866835,Piso,,"El piso en la zona de Asamblea de Vallecas en Madrid destaca por su óptima distribución en 63 metros cuadrados de superficie, aprovechando al máximo cada espacio. La terraza de 4 metros cuadrados ofrece un área adicional para disfrutar del aire libre y la luz natural que, junto con la carpintería exterior de aluminio, garantiza una excelente iluminación y aislamiento. Las dos habitaciones proporcionan un espacio privado y acogedor, mientras que el baño, en buen estado, asegura funcionalidad y comodidad. La cocina, equipada solo con muebles, permite personalizarla al gusto del nuevo propietario. La carpintería interior de madera y el suelo cerámico añaden un toque de calidez y estilo tradicional al hogar.~~Entre los extras que enriquecen esta propiedad se encuentran las comodidades como el suministro de agua, armarios empotrados que optimizan el almacenamiento, calefacción para los meses más fríos, y gas ciudad, lo que indica una infraestructura moderna y eficiente. La luminosidad es una característica constante gracias a la orientación y diseño del piso, y la presencia de luz natural es un valor añadido significativo. El patio, compartido con otros cinco vecinos, ofrece un espacio de convivencia y tendedero, mientras que la puerta blindada proporciona seguridad y tranquilidad.~~La ubicación del piso es excepcionalmente conveniente, situada en un punto céntrico con acceso a una amplia red de autobuses que conectan con diversas partes de la ciudad. La proximidad a centros comerciales y médicos, como el centro de especialidades periférico y el centro de salud Vicente Soldevilla, añade valor práctico para el día a día. Además, la cercanía a colegios de renombre asegura opciones educativas de calidad para los residentes más jóvenes. La estación de metro de Portazgo (L1) y la estación de tren de la Asamblea de Madrid (línea C2) facilitan la movilidad y hacen que desplazarse por Madrid sea cómodo y eficiente.~~Los parques cercanos, como el Parque Amós Acero, La Viña y Javier de Miguel, ofrecen espacios verdes para el ocio y el esparcimiento, contribuyendo a una calidad de vida urbana pero con un toque de naturaleza. Con gastos de comunidad de tan solo 53 euros, este piso representa una oportunidad atractiva tanto para residentes como para inversores, combinando comodidad, ubicación y un estilo de vida dinámico y moderno en el corazón de Vallecas.~¡Brindamos la mejor financiación!~¡LLÁMANOS Y ORGANIZAMOS UNA VISITA!~",San Diego,0.0,0.0,0.0,2024-05-19,12.0,1.0,,,,,,,San Diego,132.0,Puente De Vallecas,13.0,28053.0,,,,,,,,,,,,,,,,,,,,,,,,,,plazarse por Madrid sea cómodo y eficiente.~~Los parques cercanos,pisosmadrid,24/10/2024
