hog_con_15_y_más;codigo_postal;serv_barrio;m2_por_hab;energia;habitantes;renta_bruta_media_por_persona;atrib_lujo;viv_nuevas_transacciones;planta;ins_comunitaria;atrib;num_personas;diferencia_precio_renta;estado;m2_areasverdes;cod_barrio;cod_distrito;m2_constr;habitaciones;total_transacciones;precio_mean_b;tamano_medio_del_hogar;total_estaciones;hog_con_10;eficiencia_carpinteria;lineas_metro;tam_hogar;amueblado;url;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;tipologia_Atico;tipologia_Piso;tipologia_infrequent_sklearn;antiguedad_10_30;antiguedad_30_50;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_infrequent_sklearn;tipo_inmueble_Desconocido;tipo_inmueble_lujo;tipo_inmueble_infrequent_sklearn;aire_Desconocido;aire_Normal;aire_infrequent_sklearn;tipo_suelo_Desconocido;tipo_suelo_Madera;tipo_suelo_infrequent_sklearn;grupo_cocina_Desconocido;grupo_cocina_Independiente;grupo_cocina_infrequent_sklearn;target;tipologia_Chalet
0.55;0.043010753;-0.89947516;-0.25;0;1.6336366;-0.7966911;1;1.0909091;2.5;0;0.0;0.86753845;-0.56074387;-0.5;0.8027067;0.8072289;0.875;0.04819277;0.33333334;0.020746889;-0.58539;0.7714286;1.0471698;1.9512196;0;-1.25;0.16239011;0.0;https://www.pisos.com/comprar/piso-palomeras_bajas28018-46741646724_109300/;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;-0.31074765;0
0.0;-0.30107528;1.4775939;0.116071425;0;-0.12772554;0.5769544;0;0.6969697;1.0;0;1.05;-0.28467473;1.5318006;-0.5;-0.3498232;0.09638554;0.125;0.0;0.0;0.0;1.5314795;-0.51428574;-0.3490566;-0.5365854;0;0.75;0.107745305;0.1;https://www.indomio.es/anuncios/96528405/;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0.34462616;0
0.0;-0.086021505;1.4775939;-0.13690476;0;-0.12772554;0.5769544;0;-0.24242425;-0.5;0;-0.5;-0.09093396;0.047390345;2.0;-0.3498232;0.060240965;0.125;0.38554215;0.6666667;-0.20746888;0.04640658;-0.51428574;-0.3490566;-0.5365854;0;0.75;0.107745305;0.0;https://www.pisos.com/comprar/piso-gaztambide28015-45017407933_100500/;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0.56658876;0
0.45;-0.17204301;0.0;1.0833334;0;-0.10246321;0.0;-1;-0.060606062;0.0;0;-0.5;-0.9004213;0.0845457;-0.5;-0.19729331;-0.60240966;-0.625;1.373494;0.6666667;-0.7759336;0.073753946;-1.1428572;0.0;0.0;0;0.25;1.1183178;0.0;https://www.indomio.es/anuncios/96661397/;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;2.2488317;0
-0.55;0.12903225;0.4444893;-0.2857143;0;0.24359499;-0.24117441;-1;-0.18181819;0.0;0;0.0;-0.22164468;0.13831727;-0.5;-0.13859339;-0.036144577;0.0;-0.6987952;-0.6666667;-0.08713693;0.123442724;-0.14285715;-0.3018868;0.6585366;0;0.0;0.14861012;0.0;https://www.pisosmadrid.com.es/propiedad/3984015-apartamento-en-venta-en-castillejos-madrid;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;-0.18691589;0
1.0;-0.38709676;-0.6939847;0.096938774;0;-0.40789384;0.55703133;0;2.3333333;0.0;0;0.5;-0.0067844833;0.037903305;0.0;14.544658;0.31325302;0.375;0.8674699;1.0;0.09543569;0.036576044;0.54285717;1.5;-0.41463414;0;0.0;-1.188287;0.0;https://www.redpiso.es/inmueble/piso-en-venta-en-calle-rey-francisco-arguelles-moncloa-aravaca-madrid-madrid-RP71202295083;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0.28037384;0
-1.4;0.60215056;-1.308034;-0.64285713;0;-0.48039317;-0.5641384;0;-0.27272728;0.5;0;0.5;-0.040761612;-0.5217454;1.0;1.6442076;1.3975904;1.5;-0.60240966;-0.33333334;-0.7095436;-0.5424141;0.62857145;-0.43396226;-0.3902439;0;-1.25;-1.469589;0.0;https://www.redpiso.es/inmueble/piso-en-venta-en-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP202024130927;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;-0.3884346;0
-0.65;0.38709676;0.107791685;-1.0595238;0;-0.05035432;-0.7892928;0;0.18181819;-0.5;0;1.5;0.10712918;-0.5483888;-0.5;0.021357616;0.7108434;0.75;-0.7710843;-0.33333334;-0.5560166;-0.57290345;1.1714286;-0.16981132;0.8292683;0;-1.0;-1.3373723;0.0;https://www.indomio.es/anuncios/96828959/;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;-0.4760514;0
0.45;-0.086021505;0.0;0.51785713;0;-0.10246321;0.0;0;0.57575756;-0.5;0;1.5;0.44657218;-0.004597019;0.5;-0.19729331;-0.61445785;-0.625;-0.13253012;-0.33333334;1.2572614;-0.015428565;-1.1428572;0.0;0.0;0;0.25;1.1183178;0.0;https://www.indomio.es/anuncios/96670299/;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0.23948598;0
0.3;-0.6451613;-0.5329027;4.1190476;0;-0.015433361;0.91156936;1;-0.15151516;7.0;0;0.0;-0.40198064;1.1981279;0.5;-0.20408888;-0.18072289;-0.125;6.3373494;1.6666666;-0.5228216;1.2033557;0.17142858;0.8113208;-0.2682927;0;0.25;-0.51152295;0.0;https://www.pisos.com/comprar/atico-chamartin_el_viso28006-35912843490_100500/;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;7.5058413;0
