hog_con_10;total_transacciones;habitaciones;cod_barrio;renta_bruta_media_por_persona;codigo_postal;cod_distrito;viv_nuevas_transacciones;tamano_medio_del_hogar;lineas_metro;m2_areasverdes;total_estaciones;estado;energia;atrib;planta;ins_comunitaria;num_personas;tam_hogar;atrib_lujo;habitantes;serv_barrio;m2_por_hab;m2_constr;pm_tlogia_distrito;hog_con_15_y_más;amueblado;eficiencia_carpinteria;precio_mean_b;cod_barrio_frecuency;url;certificado_energetico;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;tipologia_Atico;tipologia_Casa;tipologia_Chalet;tipologia_Duplex;tipologia_Estudio;tipologia_Piso;antiguedad_10_30;antiguedad_30_50;antiguedad_5_10;antiguedad_Desconocido;antiguedad_mas_50;antiguedad_menos_5;tipo_inmueble_Desconocido;tipo_inmueble_económico;tipo_inmueble_lujo;tipo_inmueble_medio;tipo_inmueble_señorial;aire_Desconocido;aire_Eficiente;aire_Normal;aire_Sin_Aire;tipo_suelo_Baldosa;tipo_suelo_Desconocido;tipo_suelo_Gres;tipo_suelo_Madera;tipo_suelo_Otros;tipo_suelo_Piedra;tipo_suelo_Radiante;grupo_cocina_Abierta;grupo_cocina_Amueblada;grupo_cocina_Desconocido;grupo_cocina_Equipada;grupo_cocina_Independiente;grupo_cocina_Isla;grupo_cocina_No_amueblada;grupo_cocina_Reformada;grupo_cocina_Sin_reforma;target
-0.3902439;-0.7095436;0.33333334;1.3975904;-0.5641384;0.5833333;1.5;-0.28787878;0.45714286;-1.25;1.6442076;-0.43396226;1.0;0;0.0;0.6666667;0;-0.040922824;-1.469589;0;-0.48039317;-1.308034;0.07653061;0.2621951;-0.56538403;-1.4;0.0;0;-0.5284875;-0.31690142;https://www.redpiso.es/inmueble/piso-en-venta-en-calle-puentelarra-santa-eugenia-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP502023121456;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.17381668
-0.2682927;0.004149378;2.3333333;-0.14457831;0.91156936;-0.041666668;-0.125;0.015151516;0.0;0.25;-0.20408888;0.8113208;0.5;0;-0.5;-1.3333334;0;0.37621534;-0.51152295;3;-0.015433361;-0.5329027;2.5197124;5.6890244;1.1017787;0.3;0.0;0;0.6638063;0.1056338;https://www.indomio.es/anuncios/95678359/;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2.9408848
-0.2682927;-0.5228216;1.0;-0.18072289;0.91156936;-0.625;-0.125;-0.16666667;0.0;0.25;-0.20408888;0.8113208;0.5;0;0.0;0.6666667;0;-0.40357044;-0.51152295;1;-0.015433361;-0.5329027;0.48469388;1.2378049;0.24914116;0.3;0.0;0;1.148182;0.16901408;https://www.indomio.es/anuncios/94283141/;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.6110122
-0.7804878;0.69709545;0.33333334;-0.28915662;0.6828032;-0.6666667;-0.25;-0.22727273;-0.4857143;0.0;-0.11470139;-0.047169812;0.5;0;-0.5;1.3333334;0;0.2667399;0.0;0;0.0;1.7928946;0.82653064;0.7743902;0.80409455;-0.45;0.0;0;0.63643306;1.7394366;https://www.pisos.com/comprar/piso-goya28006-45059240076_100500/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.1910526
-0.63414633;-0.6514523;0.33333334;-0.5421687;0.023360131;-0.5;-0.5;0.1969697;-0.4;-0.5;0.045830213;-0.10377359;-0.5;0;-0.5;0.6666667;0;-0.1228234;-0.19838442;0;0.12949714;0.18611224;1.1836735;1.0182927;-0.42357355;-1.3;0.0;0;-0.27721056;-0.43661973;https://www.pisos.com/comprar/piso-imperial28005-45070399496_101800/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.15165213
0.0;1.2572614;0.0;-0.61445785;0.0;-0.083333336;-0.625;0.56060606;-1.3142858;0.25;-0.19729331;0.0;-0.5;0;-0.5;0.0;0;0.44833836;1.1183178;-1;-0.10246321;0.0;-0.7270408;-0.4695122;0.0;0.45;0.0;0;0.0;1.6830986;https://www.indomio.es/anuncios/96512435/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.15165213
1.9512196;1.6141078;-0.6666667;0.79518074;-0.7966911;1.5;0.875;6.9848485;0.6;-1.25;0.8027067;1.0471698;0.5;3;0.5;-0.6666667;0;1.1251304;0.16239011;1;1.6336366;-0.89947516;0.2997449;-0.55487806;-0.6354348;0.55;0.0;0;-0.5939273;0.028169014;https://www.pisos.com/comprar/piso-san_diego28053-48374768722_100500/;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;-0.3605821
0.8292683;-0.780083;-0.6666667;0.6626506;-0.7892928;1.0;0.75;-0.3181818;1.0;-1.0;0.021357616;-0.16981132;1.0;0;0.0;-0.33333334;1;-0.08437242;-1.3373723;0;-0.05035432;0.107791685;-0.7270408;-0.83536583;-0.555297;-0.65;0.0;0;-0.54519683;-0.49295774;https://www.redpiso.es/inmueble/piso-en-venta-en-usera-madrid-madrid-RP782024130863;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.41995975
-0.41463414;-0.8921162;0.33333334;0.30120483;0.55703133;-0.25;0.375;0.10606061;0.37142858;0.0;14.544658;1.5;-0.5;0;-0.5;-0.6666667;0;-0.6511398;-1.188287;0;-0.40789384;-0.6939847;0.41581634;0.49390244;0.46967357;1.0;0.0;0;0.24978311;-0.5140845;https://www.indomio.es/anuncios/96662725/;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-0.26947418
-0.7804878;-0.5020747;1.0;-0.24096386;0.6828032;-0.45833334;-0.25;-0.25757575;-0.4857143;0.0;-0.11470139;-0.047169812;-0.5;0;-0.5;0.0;0;-0.42307058;0.0;0;0.0;1.7928946;0.30612245;1.0670732;0.80409455;-0.45;0.0;0;1.4765955;1.2042253;https://www.indomio.es/anuncios/96517445/;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1.0743971
