m2_constr;letra_ce;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;jardin;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;habitantes;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;precio_mean_b;total_estaciones;habitaciones;atrib_lujo;atrib;serv_barrio;url;cod_barrio;cod_distrito;codigo_postal;target
0.04819277;0;-0.5;0.0;2.5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.86753845;0.020746889;1.0909091;-1.25;-0.8181818;0;1.0;1.1574074;-0.7966911;1.6336366;0.7714286;0.16239011;1.9512196;0.55;-0.978803;-0.5817246;-0.49579832;-0.44032097;-0.83630955;0.80270636;0;0;0;0;-1.0;-0.58539;1.0471698;0.33333334;1;0.0;-0.89947516;https://www.pisos.com/comprar/piso-palomeras_bajas28018-46741646724_109300/;133;13;28018;-0.31074765
0.0;3;-0.5;0.1;1.0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;-0.28467473;0.0;0.6969697;0.75;0.54545456;0;-0.5;-0.32407406;0.5769544;-0.12772554;-0.51428574;0.107745305;-0.5365854;0.0;0.90024936;0.67824966;2.162465;1.2858576;1.3422619;-0.34982345;0;0;0;0;0.33333334;1.5314795;-0.3490566;0.0;0;1.05;1.4775939;https://www.indomio.es/anuncios/96528405/;74;7;28010;0.34462616
0.38554215;0;2.0;0.0;-0.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.09093396;-0.20746888;-0.24242425;0.75;0.54545456;0;-0.5;-0.32407406;0.5769544;-0.12772554;-0.51428574;0.107745305;-0.5365854;0.0;0.90024936;0.67824966;2.162465;1.2858576;1.3422619;-0.34982345;0;0;0;0;0.0;0.04640658;-0.3490566;0.6666667;0;-0.5;1.4775939;https://www.pisos.com/comprar/piso-gaztambide28015-45017407933_100500/;71;7;28015;0.56658876
1.373494;0;-0.5;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.9004213;-0.7759336;-0.060606062;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.0;0.073753946;0.0;0.6666667;-1;-0.5;0.0;https://www.indomio.es/anuncios/96661397/;16;1;28013;2.2488317
-0.6987952;0;-0.5;0.0;0.0;-2;-1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;-0.22164468;-0.08713693;-0.18181819;0.0;-0.36363637;0;-0.5;-0.18518518;-0.24117441;0.24359499;-0.14285715;0.14861012;0.6585366;-0.55;0.16084789;0.0;0.30252102;0.8766299;0.25;-0.1385938;0;0;0;-1;0.0;0.123442724;-0.3018868;-0.6666667;-1;0.0;0.4444893;https://www.pisosmadrid.com.es/propiedad/3984015-apartamento-en-venta-en-castillejos-madrid;63;6;28020;-0.18691589
0.8674699;1;0.0;0.0;0.0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;-0.0067844833;0.09543569;2.3333333;0.0;-0.18181819;1;1.0;1.5277778;0.55703133;-0.40789384;0.54285717;-1.188287;-0.41463414;1.0;-0.84289277;-0.5006435;-0.08963586;-0.28184554;-0.73511904;14.544651;0;0;0;0;0.0;0.036576044;1.5;1.0;0;0.5;-0.6939847;https://www.redpiso.es/inmueble/piso-en-venta-en-calle-rey-francisco-arguelles-moncloa-aravaca-madrid-madrid-RP71202295083;92;9;28008;0.28037384
-0.60240966;0;1.0;0.0;0.5;-1;-1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;-0.040761612;-0.7095436;-0.27272728;-1.25;-1.0;0;0.0;-0.25925925;-0.5641384;-0.48039317;0.62857145;-1.469589;-0.3902439;-1.4;-1.5062344;-0.75804377;-0.7478992;-0.62988967;-1.3511904;1.6442064;0;0;0;0;-1.0;-0.5424141;-0.43396226;-0.33333334;0;0.5;-1.308034;https://www.redpiso.es/inmueble/piso-en-venta-en-villa-de-vallecas-ensanche-y-santa-eugenia-madrid-madrid-RP202024130927;182;18;28031;-0.3884346
-0.7710843;4;-0.5;0.0;-0.5;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0.10712918;-0.5560166;0.18181819;-1.0;-1.0909091;0;0.5;0.0;-0.7892928;-0.05035432;1.1714286;-1.3373723;0.8292683;-0.65;0.35785535;-0.03088803;0.0;0.06118355;0.110119045;0.02135751;0;0;0;0;-1.0;-0.57290345;-0.16981132;-0.33333334;0;1.5;0.107791685;https://www.indomio.es/anuncios/96828959/;125;12;28026;-0.4760514
-0.13253012;3;0.5;0.0;-0.5;-2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0.44657218;1.2572614;0.57575756;0.25;1.0;0;0.5;-0.046296295;0.0;-0.10246321;-1.1428572;1.1183178;0.0;0.45;0.0;0.5984556;-0.36414567;-0.046138417;-0.58035713;-0.19729364;0;0;0;-1;0.0;-0.015428565;0.0;-0.33333334;0;1.5;0.0;https://www.indomio.es/anuncios/96670299/;15;1;28015;0.23948598
6.3373494;0;0.5;0.0;7.0;1;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;-0.40198064;-0.5228216;-0.15151516;0.25;0.36363637;0;0.0;0.8240741;0.91156936;-0.015433361;0.17142858;-0.51152295;-0.2682927;0.3;-0.6421446;-0.4054054;-0.1092437;-0.12337011;-0.6964286;-0.20408913;0;0;0;0;0.33333334;1.2033557;0.8113208;1.6666666;1;0.0;-0.5329027;https://www.pisos.com/comprar/atico-chamartin_el_viso28006-35912843490_100500/;51;5;28002;7.5058413
