m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target
104.0;Villa De Vallecas;18;Santa Eugenia;182;0;Piso;3;0.0;3.0;4;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28031;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;23876;139;2;1;5;0;1;158;17346;2.61;12370;27;11;0;0;0;0;0;2681389;0;0;0;1;1;329900
144.0;Salamanca;4;Goya;42;4;Piso;0;1.0;2.0;2;2;0;0;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;1;0;0;0;0;Normal;Desconocido;0;4;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1354900
108.0;Salamanca;4;Goya;42;0;Piso;2;0.0;8.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1175000
264.0;Retiro;3;Jerónimos;35;0;Piso;5;1.0;0.0;4;5;1;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28014;Madera;0;0;1;0;0;Normal;Equipada;0;0;6825;82;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;5500000
208.0;San Blas-Canillejas;20;Simancas;201;0;Atico;2;0.0;6.0;4;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28037;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;28765;358;9;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;3;667000
322.0;Chamberí;7;Almagro;74;0;Piso;1;0.0;5.0;3;4;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28010;Desconocido;0;0;1;0;0;Desconocido;Desconocido;0;0;19418;310;34;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;3100000
64.0;Puente De Vallecas;13;Numancia;136;0;Piso;5;0.0;2.0;2;2;0;0;1;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28038;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;48720;546;94;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;0;0;1;1;295000
30.0;Usera;12;Orcasitas;121;0;Piso;3;0.0;1.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28041;Desconocido;0;0;0;0;1;Desconocido;Desconocido;0;0;23085;122;1;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;1;0;0;1;1;119000
139.0;Moncloa-Aravaca;9;Casa De Campo;91;0;Duplex;0;0.0;0.5;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28011;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;12767;95;15;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;0;0;1;4;248000
462.0;Salamanca;4;Goya;42;0;Piso;0;0.0;2.0;4;5;0;1;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28001;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;6500000
142.0;Chamberí;7;Arapiles;72;0;Atico;0;0.0;6.0;2;2;0;0;1;1;Desconocido;0;Desconocido;0;0;1;0;0;1;1;28015;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;24190;312;25;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;4;976000
88.0;San Blas-Canillejas;20;Arcos;204;0;Piso;1;0.0;3.0;3;1;0;1;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28037;Otros;0;0;0;0;0;Desconocido;Desconocido;0;0;25354;237;11;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;2;187000
46.0;Salamanca;4;Lista;45;0;Piso;0;0.0;2.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28006;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;20969;247;2;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;525000
60.0;Usera;12;Almendrales;124;0;Piso;0;0.0;2.0;3;2;0;1;0;0;mas_50;0;Desconocido;0;0;1;0;0;0;1;28026;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;22834;135;21;2;4;0;2;186;13481;2.8;13483;77;26;1495;565;267;689;491;515144;0;0;0;1;1;169000
46.0;San Blas-Canillejas;20;Arcos;204;4;Piso;0;0.1;1.0;2;1;0;0;0;0;mas_50;0;Desconocido;0;0;2;0;0;0;1;28037;Desconocido;1;1;0;0;0;Normal;Desconocido;0;4;25354;237;11;3;10;0;0;275;19768;2.63;16710;44;26;1504;739;381;828;552;995950;0;0;0;1;2;148000
86.0;Retiro;3;Jerónimos;35;0;Piso;2;1.0;6.0;2;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28014;Desconocido;0;0;0;0;0;Normal;Amueblada;0;0;6825;82;0;4;8;0;0;138;33396;2.39;16179;10;13;408;160;169;349;164;1427833;0;0;0;1;5;1180000
116.0;Chamartín;5;Prosperidad;52;0;Piso;0;0.0;5.0;3;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28002;Madera;0;0;0;0;0;Normal;Desconocido;0;0;36027;383;43;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;1;0;0;1;5;495000
600.0;Moncloa-Aravaca;9;Aravaca;97;0;Casa;0;0.1;0.0;6;5;0;1;0;1;10_30;2;lujo;0;1;2;0;0;0;1;28023;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;27445;200;9;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;0;0;1;5;1800000
138.0;Tetuán;6;Almenara;64;0;Piso;5;0.0;0.0;3;2;0;0;1;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28029;Radiante;0;0;0;0;0;Eficiente;Desconocido;0;0;23057;303;56;6;12;0;0;166;22890;2.34;25992;70;28;1337;589;375;1502;538;301635;0;0;0;1;3;601000
125.0;Salamanca;4;Castellana;46;0;Piso;5;0.0;1.0;3;4;0;1;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28006;Madera;0;0;1;0;0;Normal;Equipada;0;0;16919;189;3;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;6;1;5;1275000
316.0;Salamanca;4;Castellana;46;0;Piso;0;1.0;3.0;3;3;0;0;1;1;Desconocido;0;Desconocido;0;1;1;0;0;0;1;28006;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;16919;189;3;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;0;5;3600000
128.0;Arganzuela;2;Imperial;21;4;Piso;1;0.0;1.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28005;Desconocido;1;0;0;0;0;Desconocido;Desconocido;0;4;22385;153;18;4;9;0;4;186;27431;2.31;23071;17;13;1151;633;494;969;454;547811;0;0;0;1;3;599000
138.0;Salamanca;4;Goya;42;0;Atico;0;0.0;27.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1600000
372.0;Chamartín;5;El Viso;51;0;Piso;2;0.0;1.0;3;3;0;1;1;1;mas_50;2;lujo;0;0;1;0;0;0;1;28002;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;17274;184;6;7;20;0;1;275;42678;2.45;20435;32;45;693;274;228;505;220;214209;0;0;0;1;5;3700000
145.0;Chamberí;7;Trafalgar;73;0;Piso;0;0.0;4.0;3;3;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28010;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;24621;376;0;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;1522500
80.0;Centro;1;Justicia;14;0;Piso;1;0.0;1.0;3;1;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28004;Gres;0;0;0;1;0;Desconocido;Desconocido;0;0;18219;323;0;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;2;0;0;5;399000
86.0;Villaverde;17;Los Ángeles;174;0;Piso;2;0.0;4.0;4;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;0;1;28021;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;37808;336;68;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;0;0;1;1;160000
130.0;Centro;1;Sol;16;0;Piso;0;1.0;2.0;4;2;0;0;0;1;Desconocido;0;Desconocido;0;0;1;0;0;1;1;28013;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;8164;123;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;650000
69.0;Carabanchel;11;Opañel;112;1;Casa;0;0.0;0.0;1;1;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28019;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;1;33883;351;47;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;1;2;230000
34.0;Carabanchel;11;Buenavista;116;1;Piso;3;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28025;Desconocido;0;0;0;0;1;Desconocido;Desconocido;0;1;49151;519;113;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;0;0;0;1;1;130000
33.0;Centro;1;Embajadores;12;0;Piso;2;0.0;4.0;1;1;0;0;0;1;10_30;0;Desconocido;0;0;2;0;0;0;1;28012;Madera;0;0;1;0;0;Normal;Desconocido;0;0;46204;750;9;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;3;0;0;3;189000
51.0;Hortaleza;16;Canillas;163;4;Estudio;2;1.0;0.0;0;1;0;0;0;1;mas_50;0;Desconocido;0;0;1;0;0;0;1;28043;Desconocido;1;0;0;0;1;Normal;Abierta;0;4;39786;321;10;2;9;6;1;325;29047;2.65;19312;38;32;1114;603;596;1135;486;1758173;0;0;0;1;4;190000
100.0;Villa De Vallecas;18;Ensanche De Vallecas;183;3;Piso;2;0.0;5.0;3;2;0;0;1;1;10_30;1;Desconocido;0;0;2;1;0;0;4;28031;Desconocido;1;0;0;0;1;Normal;Desconocido;0;3;53208;730;345;1;5;0;1;158;17346;2.61;12370;27;11;0;0;0;0;0;2681389;0;2;0;1;3;435000
