m2_constr;distrito;cod_distrito;barrio;cod_barrio;letra_ce;tipologia;estado;amueblado;planta;dormitorios;banos;balcon;terraza;trastero;ascensor;antiguedad;jardin;tipo_inmueble;cancha_tenis;chimenea;exterior;piscina;porton_electrico;videoportero;armarios;codigo_postal;tipo_suelo;certificado_energetico;puerta_seguridad;orientacion_este;orientacion_oeste;orientacion_sur;aire;grupo_cocina;orientacion_norte;letra_emisiones;num_personas;total_transacciones;viv_nuevas_transacciones;lineas_metro;salidas_metro;estaciones_metroligero;estaciones_cercanias;estacion_bus_urbano;renta_bruta_media_por_persona;tamano_medio_del_hogar;tam_hogar;hog_con_10;hog_con_15_y_más;comercio_serviciosminoristas;hosteleria_restauracion;salud_bienestar_educacion;servicios_profesionales;cultura_entretenimiento;m2_areasverdes;ins_comunitaria;energia;eficiencia_carpinteria;num_garajes;cod_barrio_group;target;precio_mean_b;pm_tlogia_distrito;euro_m2_barrio;total_estaciones;habitaciones;m2_por_hab;atrib_lujo;atrib;serv_barrio;cod_barrio_frecuency
150.0;Carabanchel;11;Vista Alegre;114;0;Piso;2;0.0;2.0;3;3;1;1;0;1;30_50;0;Desconocido;0;0;1;0;0;0;1;28025;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;47727;505;36;3;16;0;0;289;15239;2.66;28825;139;57;1332;483;298;854;455;1560282;2;0;0;1;1;410000;236116.67;221407.95;2795.0676;305;6;25.0;2;4.0;3422;84
95.0;Salamanca;4;Castellana;46;0;Piso;2;0.0;2.0;2;2;0;0;0;0;mas_50;0;lujo;0;0;1;0;0;0;1;28006;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;16919;189;3;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;1;0;0;1;5;1149000;2342136.8;1752995.2;11417.745;205;4;23.75;1;2.0;7681;259
108.0;Salamanca;4;Goya;42;0;Piso;2;0.0;8.0;3;2;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28001;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;0;0;0;1;5;1175000;1454144.6;1752995.2;10005.311;205;5;21.6;1;4.0;7681;338
767.0;Moncloa-Aravaca;9;Ciudad Universitaria;93;0;Chalet;5;0.0;0.0;6;5;0;0;0;1;Desconocido;0;lujo;0;0;1;0;0;0;1;28040;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;16364;109;8;6;14;1;3;351;36592;2.58;14738;26;59;532;200;235;347;207;19901426;0;0;0;1;5;4500000;1444970.9;3110450.8;4488.379;369;11;69.72727;1;3.0;1521;66
128.0;Vicálvaro;19;El Cañaveral;194;0;Piso;3;0.0;3.0;3;2;0;0;1;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28032;Desconocido;0;0;0;0;1;Desconocido;Desconocido;0;0;13054;1085;1068;1;4;0;1;138;18214;2.69;7582;23;14;180;72;72;52;92;1063815;0;0;0;1;3;318900;435815.8;285074.25;3000.7249;143;5;25.6;2;4.0;468;38
322.0;Chamberí;7;Almagro;74;0;Piso;1;0.0;5.0;3;4;0;0;0;1;mas_50;0;Desconocido;0;0;2;0;0;0;1;28010;Desconocido;0;0;1;0;0;Desconocido;Desconocido;0;0;19418;310;34;9;22;0;0;151;36934;2.21;25648;21;39;1930;1116;1039;1910;905;19677;0;0;0;1;5;3100000;2372866.0;1386846.4;10163.295;173;7;46.0;1;4.0;6900;135
63.0;Puente De Vallecas;13;Portazgo;135;0;Piso;3;0.0;2.0;1;1;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28018;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;28741;308;56;1;7;0;3;311;13354;2.66;26108;123;50;423;137;90;189;173;1558120;0;2;0;1;1;190000;187938.86;173013.36;2409.4727;321;2;31.5;1;4.0;1012;57
88.0;Villaverde;17;Villaverde Alto;171;0;Piso;5;0.0;1.0;2;2;0;1;1;1;Desconocido;0;Desconocido;0;0;1;0;0;0;2;28021;Desconocido;0;0;0;0;0;Desconocido;Desconocido;0;0;47817;11;0;1;4;0;5;193;13604;2.82;14009;78;28;139;64;45;79;54;711123;0;2;0;1;1;277700;210887.2;163554.62;2376.8987;202;4;22.0;3;4.0;381;76
123.0;Centro;1;Universidad;15;3;Piso;2;1.0;0.0;3;3;0;0;0;1;Desconocido;0;Desconocido;0;0;2;0;0;0;1;28015;Desconocido;1;0;0;0;0;Normal;Amueblada;0;3;32783;613;30;7;27;0;2;181;27030;1.99;34155;43;48;1208;1054;137;582;259;223280;0;0;0;0;4;679900;732938.3;858494.75;6931.563;210;6;20.5;0;8.0;3240;326
170.0;Salamanca;4;Goya;42;0;Piso;2;0.0;1.0;4;3;1;1;0;1;mas_50;0;lujo;0;0;1;0;0;0;1;28001;Desconocido;0;0;0;0;0;Normal;Desconocido;0;0;29477;478;4;6;18;0;1;186;38751;2.28;24741;11;30;2470;1051;928;2315;917;333527;2;0;0;1;5;998000;1454144.6;1752995.2;10005.311;205;7;24.285715;2;4.0;7681;338
