m2_constr,distrito,cod_distrito,barrio,cod_barrio,letra_ce,tipologia,estado,amueblado,planta,dormitorios,banos,balcon,terraza,trastero,ascensor,antiguedad,jardin,tipo_inmueble,cancha_tenis,chimenea,exterior,piscina,porton_electrico,videoportero,armarios,codigo_postal,tipo_suelo,certificado_energetico,puerta_seguridad,orientacion_este,orientacion_oeste,orientacion_sur,aire,grupo_cocina,orientacion_norte,letra_emisiones,latitud,longitud,num_personas,total_transacciones,viv_nuevas_transacciones,lineas_metro,salidas_metro,estaciones_metroligero,estaciones_cercanias,estacion_bus_urbano,renta_bruta_media_por_persona,tamano_medio_del_hogar,tam_hogar,hog_con_10,hog_con_15_y_más,comercio_serviciosminoristas,hosteleria_restauracion,salud_bienestar_educacion,servicios_profesionales,cultura_entretenimiento,m2_areasverdes,ins_comunitaria,energia,eficiencia_carpinteria,num_garajes,cod_barrio_group,target,precio_mean_b,pm_tlogia_distrito,euro_m2_barrio,total_estaciones,habitaciones,m2_por_hab,atrib_lujo,atrib,serv_barrio,cod_barrio_frecuency,precio,coordenadas,lat_decimal,lon_decimal
106.0,Villaverde,17,Los Rosales,175,0,Piso,2,0.0,2.0,3,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28021,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º21'42.15'' N ,3º41'45.9'' W   ,34827,9,1,1,4,0,5,193,13604,2.82,14009,78,28,139,64,45,79,54,711123,0,0,0,1,1,260000,175014.0,167689.4,2112.9834,202,5,21.2,1,3.0,381,50,260000,"40.36170833333333,-3.6960833333333336",40.36170833333333,-3.6960833333333336
73.0,Hortaleza,16,Apostol Santiago,165,3,Piso,0,0.0,3.0,1,1,0,0,0,1,mas_50,0,medio,0,0,1,0,0,0,1,28033,Desconocido,1,0,0,0,0,Normal,Independiente,0,3,40º28'49.83'' N ,3º39'34.06'' W  ,15435,138,8,2,9,6,1,325,29047,2.65,19312,38,32,1114,603,596,1135,486,1758173,1,0,0,1,2,265000,327146.66,481471.5,3879.2095,341,2,36.5,1,6.0,3934,15,265000,"40.48050833333333,-3.659461111111111",40.48050833333333,-3.659461111111111
79.0,Hortaleza,16,Valdefuentes,166,4,Piso,2,1.0,1.0,2,2,0,0,1,1,10_30,2,Desconocido,0,0,1,0,0,0,1,28055,Desconocido,1,0,0,0,0,Normal,Desconocido,0,4,40º29'21.45'' N ,3º40'20.75'' W  ,69176,674,262,2,9,6,1,325,29047,2.65,19312,38,32,1114,603,596,1135,486,1758173,1,0,0,1,5,425000,1011412.2,481471.5,4680.8022,341,4,19.75,4,8.0,3934,69,425000,"40.48929166666667,-3.672430555555555",40.48929166666667,-3.672430555555555
565.0,Fuencarral-El Pardo,8,Pilar,84,0,Casa,5,0.0,0.0,6,5,0,0,0,1,Desconocido,0,lujo,0,0,1,0,0,0,1,28029,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º28'42.73'' N ,3º42'24.64'' W  ,45610,396,115,3,14,2,5,448,28798,2.67,23923,53,48,197,95,148,121,99,2811379,0,0,0,1,2,2905000,305615.75,2106750.0,3734.212,469,11,51.363636,1,3.0,660,38,2905000,"40.47853611111111,-3.7068444444444446",40.47853611111111,-3.7068444444444446
309.0,Chamberí,7,Almagro,74,0,Piso,2,0.0,3.0,4,5,1,0,1,1,mas_50,0,Desconocido,0,0,2,0,0,0,1,28010,Desconocido,0,0,0,0,0,Normal,Desconocido,0,0,40º25'36.89'' N ,3º41'31.6'' W   ,19418,310,34,9,22,0,0,151,36934,2.21,25648,21,39,1930,1116,1039,1910,905,19677,2,0,0,1,5,3700000,2368570.0,1373545.5,10201.327,173,9,34.333332,2,5.0,6900,126,3700000,"40.42691388888888,-3.6921111111111116",40.42691388888888,-3.6921111111111116
73.0,Moratalaz,14,Fontarrón,145,0,Piso,3,0.0,3.0,2,2,0,0,1,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28013,Desconocido,0,0,1,0,0,Desconocido,Desconocido,0,0,40º24'20.96'' N ,3º39'23.67'' W  ,17333,158,13,9,4,0,0,159,20091,2.46,11265,19,10,752,245,237,309,321,486635,1,0,0,1,2,265000,262037.88,275158.28,2895.931,163,4,18.25,2,4.0,1864,33,265000,"40.40582222222222,-3.656575",40.40582222222222,-3.656575
30.0,Usera,12,Almendrales,124,0,Piso,2,0.0,1.0,1,2,0,0,0,1,Desconocido,0,Desconocido,0,0,1,0,0,0,1,28026,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º23'14.07'' N ,3º42'2.03'' W   ,22834,135,21,2,4,0,2,186,13481,2.8,13483,77,26,1495,565,267,689,491,515144,0,0,0,1,1,214000,226296.17,224598.0,3122.5933,192,3,10.0,1,3.0,3507,34,214000,"40.38724166666667,-3.700563888888889",40.38724166666667,-3.700563888888889
185.0,Chamartín,5,Nueva España,55,0,Piso,1,0.0,9.0,4,3,0,0,1,1,Desconocido,0,Desconocido,0,0,2,0,0,0,1,28016,Desconocido,0,0,0,0,1,Desconocido,Desconocido,0,0,40º27'53.32'' N ,3º40'54.53'' W  ,24466,186,26,7,20,0,1,275,42678,2.45,20435,32,45,693,274,228,505,220,214209,2,0,0,1,5,1070000,1502470.9,1120715.5,6819.482,296,7,26.428572,2,4.0,1920,103,1070000,"40.46481111111111,-3.6818138888888887",40.46481111111111,-3.6818138888888887
49.0,Chamartín,5,Prosperidad,52,0,Piso,0,0.0,1.0,3,2,0,0,0,0,mas_50,0,Desconocido,0,0,1,0,0,0,1,28002,Desconocido,0,0,0,0,0,Desconocido,Desconocido,0,0,40º26'29.76'' N ,3º40'13.18'' W  ,36027,383,43,7,20,0,1,275,42678,2.45,20435,32,45,693,274,228,505,220,214209,0,0,0,1,5,260000,996143.7,1120715.5,5847.313,296,5,9.8,1,2.0,1920,103,260000,"40.441599999999994,-3.6703277777777776",40.441599999999994,-3.6703277777777776
276.0,Chamartín,5,Hispanoamérica,54,4,Piso,2,0.0,6.0,5,5,1,1,0,1,30_50,0,lujo,0,0,1,0,0,0,1,28016,Desconocido,1,0,0,0,0,Normal,Desconocido,0,4,40º27'26.56'' N ,3º39'55.32'' W  ,31470,311,12,7,20,0,1,275,42678,2.45,20435,32,45,693,274,228,505,220,214209,2,0,0,1,5,1950000,1321864.5,1120715.5,7069.4688,296,10,27.6,2,8.0,1920,112,1950000,"40.45737777777778,-3.6653666666666664",40.45737777777778,-3.6653666666666664
