target,target_log,banos,m2_constr,cod_barrio_group,renta_bruta_media_por_persona,dormitorios,hog_con_10,codigo_postal,cod_barrio,servicios_profesionales,lineas_metro,salud_bienestar_educacion,num_personas,cod_distrito,comercio_serviciosminoristas,tipo_inmueble,cultura_entretenimiento,salidas_metro,latitud,hosteleria_restauracion
0.0,-inf,3.0,389.0,4,38751.0,3.0,11.0,5,97,2315.0,6.0,928.0,16919.0,15,2470.0,2,917.0,18.0,72,1051.0
647000.0,13.380101573483039,2.0,101.0,2,27431.0,2.0,17.0,4,80,969.0,4.0,494.0,36069.0,11,1151.0,2,454.0,9.0,42,633.0
650000.0,13.38472764187182,2.0,110.0,3,22890.0,3.0,70.0,19,105,1502.0,6.0,375.0,34753.0,17,1337.0,0,538.0,12.0,100,589.0
650000.0,13.38472764187182,1.0,74.0,4,42678.0,1.0,32.0,15,101,505.0,7.0,228.0,31470.0,16,693.0,2,220.0,20.0,101,274.0
739000.0,13.513053199930338,2.0,73.0,3,27030.0,2.0,43.0,12,47,582.0,7.0,137.0,8164.0,0,1208.0,0,259.0,27.0,77,1054.0
989000.0,13.804449610604848,3.0,112.0,3,27030.0,3.0,43.0,12,47,582.0,7.0,137.0,8164.0,0,1208.0,0,259.0,27.0,77,1054.0
228500.0,12.339291489316397,2.0,90.0,0,13354.0,3.0,123.0,17,28,189.0,1.0,90.0,28741.0,4,423.0,0,173.0,7.0,25,137.0
0.0,-inf,1.0,46.0,2,27030.0,1.0,43.0,11,15,582.0,7.0,137.0,46204.0,0,1208.0,0,259.0,27.0,49,1054.0
795000.0,13.586097393636468,2.0,120.0,4,27030.0,2.0,43.0,3,30,582.0,7.0,137.0,18219.0,0,1208.0,0,259.0,27.0,78,1054.0
0.0,-inf,5.0,209.0,4,38751.0,5.0,11.0,0,93,2315.0,6.0,928.0,29477.0,15,2470.0,2,917.0,18.0,64,1051.0
397000.0,12.891691559669326,1.0,73.0,2,27431.0,1.0,17.0,4,80,969.0,4.0,494.0,36069.0,11,1151.0,0,454.0,9.0,42,633.0
1250000.0,14.038654109278482,3.0,190.0,4,42678.0,7.0,32.0,15,101,505.0,7.0,228.0,31470.0,16,693.0,0,220.0,20.0,101,274.0
150000.0,11.918390573078394,1.0,64.0,1,22440.0,3.0,62.0,16,39,1049.0,5.0,459.0,62840.0,6,1211.0,0,556.0,14.0,79,517.0
1430000.0,14.173185002236089,4.0,133.0,4,38751.0,3.0,11.0,0,93,2315.0,6.0,928.0,29477.0,15,2470.0,0,917.0,18.0,64,1051.0
249000.0,12.425208175446844,1.0,104.0,0,13604.0,2.0,78.0,20,54,79.0,1.0,45.0,47817.0,8,139.0,0,54.0,4.0,0,64.0
795000.0,13.586097393636468,2.0,155.0,2,27030.0,4.0,43.0,11,15,582.0,7.0,137.0,46204.0,0,1208.0,0,259.0,27.0,49,1054.0
0.0,-inf,1.0,69.0,1,17267.0,2.0,82.0,44,3,628.0,3.0,366.0,66588.0,1,1223.0,0,523.0,10.0,38,499.0
165000.0,12.013700752882718,1.0,56.0,0,13481.0,2.0,77.0,24,20,689.0,2.0,267.0,26579.0,3,1495.0,0,491.0,4.0,20,565.0
0.0,-inf,3.0,184.0,4,36934.0,3.0,21.0,9,113,1910.0,9.0,1039.0,19418.0,18,1930.0,0,905.0,22.0,67,1116.0
499000.0,13.120361374733655,1.0,88.0,3,27030.0,2.0,43.0,14,37,582.0,7.0,137.0,32783.0,0,1208.0,0,259.0,27.0,66,1054.0
0.0,-inf,1.0,88.0,1,19768.0,3.0,44.0,34,69,828.0,3.0,381.0,25354.0,12,1504.0,0,552.0,10.0,65,739.0
108000.0,11.589886506106357,1.0,35.0,0,13354.0,1.0,123.0,35,29,189.0,1.0,90.0,48720.0,4,423.0,0,173.0,7.0,44,137.0
0.0,-inf,1.0,52.0,0,15239.0,2.0,139.0,38,14,854.0,3.0,298.0,31691.0,2,1332.0,0,455.0,16.0,12,483.0
0.0,-inf,1.0,47.0,4,28798.0,1.0,53.0,45,116,121.0,3.0,148.0,3421.0,19,197.0,0,99.0,14.0,129,95.0
1129000.0,13.9368428431318,2.0,113.0,4,38751.0,2.0,11.0,0,93,2315.0,6.0,928.0,29477.0,15,2470.0,0,917.0,18.0,64,1051.0
380000.0,12.847926531702567,2.0,72.0,4,42678.0,3.0,32.0,1,99,505.0,7.0,228.0,36027.0,16,693.0,0,220.0,20.0,82,274.0
314900.0,12.660010407089116,1.0,65.0,4,28798.0,2.0,53.0,45,116,121.0,3.0,148.0,3421.0,19,197.0,0,99.0,14.0,129,95.0
389000.0,12.871334622600584,2.0,100.0,1,22440.0,3.0,62.0,16,39,1049.0,5.0,459.0,62840.0,6,1211.0,0,556.0,14.0,79,517.0
470000.0,13.060487973686241,1.0,40.0,4,38751.0,0.0,11.0,0,92,2315.0,6.0,928.0,15444.0,15,2470.0,2,917.0,18.0,63,1051.0
3300000.0,15.009433026436708,4.0,223.0,4,38751.0,3.0,11.0,0,92,2315.0,6.0,928.0,15444.0,15,2470.0,0,917.0,18.0,63,1051.0
205000.0,12.230765258120545,1.0,55.0,4,28798.0,2.0,53.0,45,116,121.0,3.0,148.0,3421.0,19,197.0,0,99.0,14.0,129,95.0
0.0,-inf,5.0,265.0,4,27030.0,5.0,43.0,13,23,582.0,7.0,137.0,10816.0,0,1208.0,2,259.0,27.0,52,1054.0
127500.0,11.755871643580617,1.0,58.0,0,13604.0,3.0,78.0,20,55,79.0,1.0,45.0,17270.0,8,139.0,0,54.0,4.0,1,64.0
0.0,-inf,1.0,60.0,2,22440.0,2.0,62.0,25,42,1049.0,5.0,459.0,18327.0,6,1211.0,1,556.0,14.0,87,517.0
859000.0,13.66352420096639,2.0,88.0,3,27030.0,2.0,43.0,12,47,582.0,7.0,137.0,8164.0,0,1208.0,0,259.0,27.0,77,1054.0
0.0,-inf,2.0,152.0,4,38751.0,2.0,11.0,0,92,2315.0,6.0,928.0,15444.0,15,2470.0,2,917.0,18.0,63,1051.0
599000.0,13.303016877097585,2.0,230.0,2,13481.0,4.0,77.0,38,17,689.0,2.0,267.0,14390.0,3,1495.0,0,491.0,4.0,17,565.0
1875000.0,14.444119217386648,5.0,346.0,4,42678.0,4.0,32.0,1,99,505.0,7.0,228.0,36027.0,16,693.0,0,220.0,20.0,82,274.0
3850000.0,15.163583706263967,3.0,378.0,4,36934.0,4.0,21.0,9,113,1910.0,9.0,1039.0,19418.0,18,1930.0,0,905.0,22.0,67,1116.0
949000.0,13.763164077592066,3.0,145.0,3,36592.0,4.0,26.0,7,124,347.0,6.0,235.0,24497.0,20,532.0,0,207.0,14.0,75,200.0
0.0,-inf,2.0,160.0,4,42678.0,2.0,32.0,1,98,505.0,7.0,228.0,17274.0,16,693.0,0,220.0,20.0,90,274.0
164000.0,12.007621706806336,1.0,64.0,0,17267.0,2.0,82.0,41,6,628.0,3.0,366.0,51268.0,1,1223.0,0,523.0,10.0,26,499.0
279000.0,12.538967060803504,1.0,72.0,0,15239.0,3.0,139.0,23,11,854.0,3.0,298.0,47727.0,2,1332.0,0,455.0,16.0,23,483.0
825000.0,13.623138665316818,2.0,125.0,4,27030.0,4.0,43.0,13,23,582.0,7.0,137.0,10816.0,0,1208.0,2,259.0,27.0,52,1054.0
985000.0,13.800396920154226,3.0,185.0,4,33396.0,3.0,10.0,13,90,349.0,4.0,169.0,6825.0,14,408.0,0,164.0,8.0,55,160.0
1679000.0,14.333708936059677,2.0,133.0,4,33396.0,2.0,10.0,8,89,349.0,4.0,169.0,21492.0,14,408.0,0,164.0,8.0,61,160.0
175000.0,12.072541252905651,1.0,81.0,0,13354.0,2.0,123.0,35,29,189.0,1.0,90.0,48720.0,4,423.0,0,173.0,7.0,44,137.0
2239000.0,14.621539895580893,4.0,229.0,4,38751.0,3.0,11.0,5,96,2315.0,6.0,928.0,20969.0,15,2470.0,0,917.0,18.0,76,1051.0
340000.0,12.736700896592344,1.0,49.0,4,27030.0,2.0,43.0,3,30,582.0,7.0,137.0,18219.0,0,1208.0,0,259.0,27.0,78,1054.0
172000.0,12.05524975579559,2.0,95.0,0,13354.0,4.0,123.0,46,25,189.0,1.0,90.0,45104.0,4,423.0,0,173.0,7.0,21,137.0
899000.0,13.709038313453757,2.0,153.0,4,42678.0,3.0,32.0,15,102,505.0,7.0,228.0,24466.0,16,693.0,0,220.0,20.0,111,274.0
445000.0,13.005829561148376,2.0,115.0,3,27030.0,3.0,43.0,14,37,582.0,7.0,137.0,32783.0,0,1208.0,0,259.0,27.0,66,1054.0
160000.0,11.982929094215963,2.0,74.0,0,13604.0,3.0,78.0,20,54,79.0,1.0,45.0,47817.0,8,139.0,0,54.0,4.0,0,64.0
2700000.0,14.808762330974558,5.0,450.0,4,42678.0,5.0,32.0,1,98,505.0,7.0,228.0,17274.0,16,693.0,2,220.0,20.0,90,274.0
498000.0,13.11835535600679,1.0,101.0,3,38751.0,3.0,11.0,26,95,2315.0,6.0,928.0,41964.0,15,2470.0,0,917.0,18.0,88,1051.0
569000.0,13.251635713108469,1.0,92.0,4,42678.0,4.0,32.0,15,102,505.0,7.0,228.0,24466.0,16,693.0,0,220.0,20.0,111,274.0
420000.0,12.948009990259552,1.0,99.0,3,27030.0,2.0,43.0,14,37,582.0,7.0,137.0,32783.0,0,1208.0,0,259.0,27.0,66,1054.0
0.0,-inf,1.0,70.0,2,17346.0,2.0,27.0,29,61,0.0,1.0,0.0,53208.0,9,0.0,0,0.0,5.0,6,0.0
410000.0,12.92391243868049,2.0,92.0,4,42678.0,3.0,32.0,1,99,505.0,7.0,228.0,36027.0,16,693.0,0,220.0,20.0,82,274.0
199900.0,12.205572520488492,1.0,50.0,2,27431.0,1.0,17.0,42,83,969.0,4.0,494.0,28575.0,11,1151.0,0,454.0,9.0,34,633.0
0.0,-inf,2.0,105.0,1,22440.0,3.0,62.0,16,39,1049.0,5.0,459.0,62840.0,6,1211.0,0,556.0,14.0,79,517.0
0.0,-inf,2.0,211.0,4,36934.0,4.0,21.0,2,115,1910.0,9.0,1039.0,19853.0,18,1930.0,0,905.0,22.0,86,1116.0
730000.0,13.500799813124573,2.0,116.0,4,33396.0,3.0,10.0,8,89,349.0,4.0,169.0,21492.0,14,408.0,0,164.0,8.0,61,160.0
350000.0,12.765688433465597,2.0,90.0,1,22890.0,2.0,70.0,36,109,1502.0,6.0,375.0,25694.0,17,1337.0,0,538.0,12.0,103,589.0
1425000.0,14.169682371684889,3.0,102.0,4,33396.0,3.0,10.0,8,89,349.0,4.0,169.0,21492.0,14,408.0,2,164.0,8.0,61,160.0
599000.0,13.303016877097585,2.0,148.0,0,15239.0,4.0,139.0,23,13,854.0,3.0,298.0,49151.0,2,1332.0,0,455.0,16.0,9,483.0
851000.0,13.65416740755551,2.0,142.0,3,27030.0,4.0,43.0,12,47,582.0,7.0,137.0,8164.0,0,1208.0,0,259.0,27.0,77,1054.0
410000.0,12.92391243868049,2.0,84.0,1,22440.0,2.0,62.0,16,39,1049.0,5.0,459.0,62840.0,6,1211.0,0,556.0,14.0,79,517.0
128900.0,11.76679218892728,1.0,43.0,0,13481.0,2.0,77.0,24,19,689.0,2.0,267.0,22834.0,3,1495.0,0,491.0,4.0,19,565.0
498500.0,13.11935886838403,1.0,72.0,4,36934.0,2.0,21.0,2,114,1910.0,9.0,1039.0,27163.0,18,1930.0,0,905.0,22.0,83,1116.0
2200000.0,14.603967918328545,3.0,243.0,4,38751.0,3.0,11.0,5,97,2315.0,6.0,928.0,16919.0,15,2470.0,0,917.0,18.0,72,1051.0
0.0,-inf,1.0,37.0,3,38751.0,3.0,11.0,26,95,2315.0,6.0,928.0,41964.0,15,2470.0,0,917.0,18.0,88,1051.0
0.0,-inf,2.0,85.0,4,42678.0,2.0,32.0,1,99,505.0,7.0,228.0,36027.0,16,693.0,0,220.0,20.0,82,274.0
0.0,-inf,2.0,63.0,2,22890.0,2.0,70.0,27,107,1502.0,6.0,375.0,23057.0,17,1337.0,0,538.0,12.0,112,589.0
239000.0,12.384218830913648,2.0,103.0,2,19768.0,3.0,44.0,34,66,828.0,3.0,381.0,28765.0,12,1504.0,0,552.0,10.0,80,739.0
1200000.0,13.997832114758229,2.0,117.0,3,27030.0,2.0,43.0,14,37,582.0,7.0,137.0,32783.0,0,1208.0,0,259.0,27.0,66,1054.0
310000.0,12.644327576461329,1.0,64.0,2,27431.0,4.0,17.0,42,83,969.0,4.0,494.0,28575.0,11,1151.0,1,454.0,9.0,34,633.0
785000.0,13.573438996764546,2.0,120.0,4,42678.0,3.0,32.0,1,98,505.0,7.0,228.0,17274.0,16,693.0,0,220.0,20.0,90,274.0
280000.0,12.542544882151388,1.0,70.0,4,42678.0,1.0,32.0,1,99,505.0,7.0,228.0,36027.0,16,693.0,0,220.0,20.0,82,274.0
0.0,-inf,2.0,149.0,3,27030.0,4.0,43.0,12,47,582.0,7.0,137.0,8164.0,0,1208.0,0,259.0,27.0,77,1054.0
