PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
6322859;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría  Integral de Distrito Salamanca";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: VentasBus: 12 , 21, 38, 53, 106, 110, 146, 210, N5 y N7";"Este servicio depende de la Unidad Integral del Distrito Salamanca. Teléfono: 917 131 443";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7335de294e585310VgnVCM2000000c205a0aRCRD";"PEDRO HEREDIA";"CALLE";"V";"34";"";"";"";"";"MADRID";"MADRID";"28028";"3";"FUENTE DEL BERRO";"4";"SALAMANCA";"443817";"4475709";"40.43012356817602";"-3.6623634166822514";"917 242 604                
                
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"salamancaoacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322852;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría  Integral de Distrito San Blas-Canillejas";"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Unidad Integral de Distrito San Blas-Canillejas";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Las Musas Bus: 38 , 140";"Este servicio depende de la Unidad Integral del Distrito San Blas - Canillejas. Teléfono: 917 609 521";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e63de294e585310VgnVCM2000000c205a0aRCRD";"ESTOCOLMO";"CALLE";"V";"91";"";"";"";"";"MADRID";"MADRID";"28022";"5";"ROSAS";"20";"SAN BLAS-CANILLEJAS";"448705";"4476089";"40.43386257026589";"-3.6047825149612094";"917 609 519                         
                         
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"sanblasoacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
7497459;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Arganzuela";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Legazpi. Líneas 3 y 6 Bus: 18, 55, 60";"Este servicio depende de la Unidad Integral del Distrito Arganzuela. Teléfono: 915 173 217";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a8b1a9ba8736410VgnVCM1000000b205a0aRCRD";"CHOPERA";"PASEO";"V";"2";"";"";"";"";"MADRID";"MADRID";"28045";"3";"CHOPERA";"2";"ARGANZUELA";"440379";"4471962";"40.39612047546934";"-3.702541299775232";"915 171 339, 915 171 086    
                  
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"uidpmarganzuela@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6913389;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Barajas";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Bus: 112 , 114";"Este servicio depende de la Unidad Integral del Distrito Barajas. Teléfono: 917 481 852";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfb54fd0f603e310VgnVCM1000000b205a0aRCRD";"TRESPADERNE";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28042";"2";"AEROPUERTO";"21";"BARAJAS";"450726";"4478155";"40.45259668427249";"-3.5811044713320173";"917 481 856 / 917 467 132 
          
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"barajasoacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322837;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Carabanchel";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Bus: 47 , 108 , 118 , 121 , 131";"Este servicio depende de la Unidad Integral del Distrito Carabanchel. Teléfono: 914 220 769";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3bfde294e585310VgnVCM2000000c205a0aRCRD";"CARABANCHEL ALTO";"AVENIDA";"V";"61";"";"";"";"";"MADRID";"MADRID";"28054";"6";"BUENAVISTA";"11";"CARABANCHEL";"435992";"4468073";"40.3607742083677";"-3.753833592699974";"914 220 767            
            
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"carabancheloacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322846;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Centro - Norte";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Callao, líneas 3 y 5 Bus: Líneas 1, 2, 3, 44, 46, 74, 75, 133, 146, 147, 148, 202";"Este servicio depende de la Unidad Integral del Distrito Centro Norte. Teléfono: 915 329 523";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7fe1de294e585310VgnVCM2000000c205a0aRCRD";"SANTA MARIA SOLEDAD TORRES ACOSTA";"PLAZA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28004";"5";"UNIVERSIDAD";"1";"CENTRO";"440145";"4474775";"40.4214535549175";"-3.705563118253955";"915 329 412              
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"uidpmcentro@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322861;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Centro - Sur";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Sol. Líneas 1, 2 y 3 Bus: 5, 15, 20, 50, 51, 52, 53, 150 Cercanías Renfe: C3, C4";"Este servicio depende de la Unidad Integral del Distrito Centro Sur. Teléfono: 915 216 130";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=55b5de294e585310VgnVCM2000000c205a0aRCRD";"MONTERA";"CALLE";"V";"16";"";"";"";"";"MADRID";"MADRID";"28013";"6";"SOL";"1";"CENTRO";"440390";"4474370";"40.41782271283005";"-3.7026373363773";"915 234 594            
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322843;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Chamartín";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Cruz del RayoBus: 1 , 29 , 52";"Este servicio depende de la Unidad Integral del Distrito Chamartín. Teléfono: 915 880 345";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a51de294e585310VgnVCM2000000c205a0aRCRD";"COMANDANTE AZCARRAGA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"443300";"4479168";"40.461256782702364";"-3.668756152143208";"915 880 351            
            
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"chamartinoacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322855;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Chamberí";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Cuatro CaminosBus: 149, 124, 66, 128";"Este servicio depende de la Unidad Integral del Distrito Chamberí. Teléfono: 914 562 511";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a814de294e585310VgnVCM2000000c205a0aRCRD";"RAIMUNDO FERNANDEZ VILLAVERDE";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28003";"5";"RIOS ROSAS";"7";"CHAMBERI";"440407";"4477564";"40.44658783768792";"-3.7027481328112994";"915 987 436        
                   
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"chamberioacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
6322838;"Oficina de Atención al Ciudadano (OAC). Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal";"";"De lunes a viernes de 9 a 14 y de 16 a 21 horas";"Recepción y tratamiento de las sugerencias y quejas de los ciudadanos en materia de seguridad y convivencia en los barrios del distrito. Contacto permanente con Asociaciones de Vecinos, comerciantes, colectivos de inmigrantes, etc., para la atención puntual de sus requerimientos. Colaboración con las unidades del Cuerpo especializadas en casos de violencia de género y de maltrato doméstico. Contacto con mediadores y dinamizadores de espacios públicos para favorecer la integración de todos los colectivos. Asesoramiento a los ciudadanos y canalización de aquellos requerimientos no relacionados con Policía Municipal para su derivación a la autoridad o servicio correspondiente.";"Metro: Ciudad LinealBus: 4 , 38 , 48 , 70 , 77 , 104 , 105 , 109";"Este servicio depende de la Unidad Integral del Distrito Ciudad Lineal. Teléfono: 913 689 331";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8ffde294e585310VgnVCM2000000c205a0aRCRD";"PELOPONESO";"CALLE";"V";"9";"";"";"";"";"MADRID";"MADRID";"28032";"2";"PUEBLO NUEVO";"15";"CIUDAD LINEAL";"447037";"4474066";"40.41553401395054";"-3.6242586891532347";"913 775 258                 
                  
A disposición de las personas que deseen trasladar sugerencias, informaciones o quejas sobre seguridad y convivencia de carácter NO URGENTE, para su valoración e intervención policial.";"";"clinealoacpm@madrid.es";"/contenido/entidadesYorganismos/OficinasPoliciaMunicipal"
