PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
2392;"Auditorio al aire libre Berlín";"Su mantenimiento es competencia de la Junta de Distrito de Chamartín.  Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Concha Espina (línea 9).  Bus: 16, 29, 52.  Bicimad: Estación 197 (avenida de Concha Espina, 34).  Aparcamiento: Museo de la Ciudad (51) calle Príncipe de Vergara 152 y calle Pechuán.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=34137b503a71c010VgnVCM1000000b205a0aRCRD";"SAN ERNESTO";"CALLE";"V";"10";"";"";"";"";"MADRID";"MADRID";"28002";"3";"CIUDAD JARDIN";"5";"CHAMARTIN";"442714";"4477836";"40.449208447370104";"-3.6755539136331894";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
10290803;"Auditorio al Aire Libre Recinto Ferial Vicálvaro";"";"";"";"Metro: Puerta de Arganda (Línea 9).  Cercanías RENFE: Vicálvaro (Líneas C2, C7, C8 y Regional).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=883ba0701d0da510VgnVCM1000001d4a900aRCRD";"POLIDEPORTIVO";"PASEO";"V";"142";"";"";"";"";"MADRID";"MADRID";"28032";"1";"CASCO H.VICALVARO";"19";"VICALVARO";"449366";"4473005";"40.40612285515847";"-3.5967208460494637";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
122296;"Auditorio al aire libre. Carlos Jiménez de Parga";"Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades : espectáculos variados durante los meses de verano.  Espacio abierto, acceso directo sin vallado.";"";"";"Metro: Miguel Hernández (línea 1)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d03cbf06c81c010VgnVCM1000000b205a0aRCRD";"RAFAEL ALBERTI";"AVENIDA";"V";"13";"";"";"";"";"MADRID";"MADRID";"28038";"4";"PALOMERAS SURESTE";"13";"PUENTE DE VALLECAS";"445830";"4471232";"40.389928882222264";"-3.6382448554479936";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2395;"Auditorio al aire libre. Centro Cultural el Pozo";"Su mantenimiento es competencia de la Junta de Puente de Vallecas.";"";"Actividades: espectáculos variados durante los meses de verano. Espacio con vallado perimetral y puerta de acceso.";"Cercanías Renfe: El Pozo (líneas C2, C7 y Regional).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8cd27b503a71c010VgnVCM1000000b205a0aRCRD";"ANDALUCES DEL POZO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443905";"4469263";"40.372062320145766";"-3.66075779238216";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2396;"Auditorio al aire libre. Entrevías";"Su mantenimiento es competencia de la Junta de Puente de Vallecas.   Actividades: espectáculos variados durante los meses de verano. Espacio con vallado perimetral y puerta de acceso.";"";"";"Consulta los siguientes enlaces:";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1fe27b503a71c010VgnVCM1000000b205a0aRCRD";"SUR";"RONDA";"V";"2";"";"";"";"";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"442304";"4470116";"40.37963903974854";"-3.6796821404150357";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
122325;"Auditorio al aire libre. Parque Aluche";"Su mantenimiento es competencia de la Junta de Distrito Latina.  Actividades : espectáculos variados durante los meses de verano.";"";"";"Metro de Madrid. Línea 5. Estación: Aluche.   Autobuses de la  EMT: líneas 25, 121 y 138.   Cercanías RENFE:. Línea C 5. Estación: Aluche.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0023cbf06c81c010VgnVCM1000000b205a0aRCRD";"ILLESCAS";"CALLE";"V";"149";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"435554";"4471619";"40.392680212409495";"-3.7593572957930554";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
10290753;"Auditorio al aire libre. Parque Amós Acero";"Su mantenimiento es competencia de la Junta de Distrito de Puente de Vallecas.   Actividades: Espectáculos variados durante los meses de verano. Espacio abierto, acceso directo sin vallado.";"";"";"Consulta los siguientes enlaces:";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0688a0701d0da510VgnVCM1000001d4a900aRCRD";"SIERRA DE ALQUIFE";"CALLE";"V";"20";"";"";"";"";"MADRID";"MADRID";"28053";"2";"SAN DIEGO";"13";"PUENTE DE VALLECAS";"443462";"4471081";"40.38840925271774";"-3.666129894495819";"915 887 307";"";"cultupvallecas@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2393;"Auditorio al aire libre. Parque Cerro Almodóvar";"Su mantenimiento es competencia de la Junta de Distrito de Latina.  Actividades : espectáculos variados durante los meses de verano. Aforo máximo: 1200 espectadores.";"";"";"Metro de Madrid. Línea 6. Estación: Carpetana.  Autobuses de la EMT: Líneas: 17, 25 y 500.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb437b503a71c010VgnVCM1000000b205a0aRCRD";"MARCELINO CASTILLO";"CALLE";"V";"29";"";"";"";"";"MADRID";"MADRID";"28047";"4";"ALUCHE";"10";"LATINA";"436800";"4471778";"40.39420802732146";"-3.744692836307442";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2399;"Auditorio al aire libre. Parque de Canillejas";"Su mantenimiento es competencia de la Junta de Distrito de San Blas - Canillejas.   Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Torre Arias (línea 5)";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=59337b503a71c010VgnVCM1000000b205a0aRCRD";"NECTAR";"CALLE";"V";"32";"";"";"";"";"MADRID";"MADRID";"28022";"7";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"448169";"4477063";"40.442611374955234";"-3.611167964373918";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
10724346;"Auditorio al aire libre. Parque de la Cuña Verde de O´Donnell";"Actividades: cine de verano y espectáculos musicales.";"";"";"Consulta los siguientes enlaces.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35f0833f1eec3610VgnVCM1000001d4a900aRCRD";"FUENTE CARRANTONA";"CALLE";"V";"61";"";"";"";"";"MADRID";"MADRID";"28030";"3";"MARROQUINA";"14";"MORATALAZ";"446635";"4473699";"40.41220664353713";"-3.628972354235786";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2387;"Auditorio al aire libre. Parque de la Vaguada";"";"";"Templete de Música";"Metro: Peña Grande (línea 7), Barrio del Pilar (línea 9) Bus: 49 , 67 , 83 , 124 , 128 , 132 , 133 , 137";"Mantenimiento:Área de Gobierno de Medio Ambiente y Movilidad";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e537b503a71c010VgnVCM1000000b205a0aRCRD";"VAGUADA";"PASEO";"V";"13";"";"";"";"Avenida de Betanzos con Paseo de la Vaguada";"MADRID";"MADRID";"28029";"4";"EL PILAR";"8";"FUENCARRAL-EL PARDO";"439712";"4481297";"40.48016602497203";"-3.7112978051427574";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2394;"Auditorio al aire libre. Parque de las Cruces";"Su mantenimiento es competencia de la Junta de Distrito de Latina. Está situado junto al estanque del Parque. Ubicación exacta en Google Maps .  Actividades : espectáculos variados durante los meses de verano.";"";"";"Metro de Madrid. Línea 5. Estación: Aluche. Autobuses de la EMT. Líneas: 47, 118, 121, 131, 155. Cercanías RENFE. Línea C 5. Estación: Aluche.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=93837b503a71c010VgnVCM1000000b205a0aRCRD";"POBLADOS";"AVENIDA";"V";"68";"";"";"";"";"MADRID";"MADRID";"28044";"7";"LAS AGUILAS";"10";"LATINA";"435534";"4470597";"40.383472075956185";"-3.759489504920487";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
52514;"Auditorio al aire libre. Parque de Olof Palme";"Su mantenimiento es competencia de Medioambiente (Parques y Jardines).   Actividades: espectáculos variados durante los meses de verano.";"";"";"Metro: Plaza Elíptica (líneas 6 y 11).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1185946be351c010VgnVCM2000000c205a0aRCRD";"CERECINOS";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28026";"6";"ZOFIO";"12";"USERA";"439527";"4470701";"40.384714506176095";"-3.712457801979168";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
6622017;"Auditorio al aire libre. Parque de Pradolongo";"Su mantenimiento es competencia de Medioambiente. (Parques y Jardines).  Actividades: espectáculos variados durante los meses de verano.";"";"";"Cercanías Renfe: Orcasitas (línea C5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0bae296aa2c9a310VgnVCM2000000c205a0aRCRD";"POBLADOS";"AVENIDA";"V";"169";"";"";"";"";"MADRID";"MADRID";"28041";"7";"PRADOLONGO";"12";"USERA";"439998";"4469285";"40.37198635690731";"-3.7067765807244246";"";"";"";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
2389;"Auditorio al aire libre. Parque del Calero";"";"";"Zona wifi Cafetería  El auditorio está abierto los días que hay programación cultural del Distrito, como Cine de Verano en julio, agosto y parte de septiembre, Clásicos a la Fresca en el mes de junio, Festival Joven en octubre... Éstas y otras actividades que puedan programarse siempre se publicitan. La cafetería abre durante el Cine de Verano.";"Metro: Quintana (línea 5), Barrio de la Concepción (línea 7).";"Mantenimiento: Dependiente de la Junta Municipal de Distrito de Ciudad Lineal.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c6237b503a71c010VgnVCM1000000b205a0aRCRD";"JOSE DEL HIERRO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28027";"4";"LA CONCEPCION";"15";"CIUDAD LINEAL";"444836";"4476387";"40.436300129244366";"-3.65040832835415";"917 654 317";"";"cultuclineal@madrid.es";"/contenido/entidadesYorganismos/AuditoriosSalasConcierto"
