distrito,tipo_area_verde,area_m2,cod_distrito
CENTRO,Parques Y Jardines                                                                                  ,5025.42,1
CENTRO,Parques Y Jardines                                                                                  ,26814.0,1
CENTRO,Parques Y Jardines                                                                                  ,2979.2,1
CENTRO,Parques Y Jardines                                                                                  ,1637.34,1
CENTRO,Parques Y Jardines                                                                                  ,172.9,1
CENTRO,Parques Y Jardines                                                                                  ,5462.95,1
CENTRO,Parques Y Jardines                                                                                  ,1001.53,1
CENTRO,Parques Y Jardines                                                                                  ,106811.18,1
CENTRO,Parques Y Jardines                                                                                  ,1999.63,1
CENTRO,Parques Y Jardines                                                                                  ,1374.79,1
CENTRO,Parques Y Jardines                                                                                  ,654.66,1
CENTRO,Parques Y Jardines                                                                                  ,12346.82,1
CENTRO,Parques Y Jardines                                                                                  ,77.08,1
CENTRO,Parques Y Jardines                                                                                  ,496.08,1
CENTRO,Parques Y Jardines                                                                                  ,776.35,1
CENTRO,Parques Y Jardines                                                                                  ,539.0,1
CENTRO,Parques Y Jardines                                                                                  ,745.85,1
CENTRO,Parques Y Jardines                                                                                  ,451.49,1
CENTRO,Parques Y Jardines                                                                                  ,1099.58,1
CENTRO,Parques Y Jardines                                                                                  ,939.95,1
CENTRO,Parques Y Jardines                                                                                  ,471.75,1
CENTRO,Parques Y Jardines                                                                                  ,13461.43,1
CENTRO,Parques Y Jardines                                                                                  ,710.4,1
CENTRO,Parques Y Jardines                                                                                  ,463.0,1
CENTRO,Parques Y Jardines                                                                                  ,2120.0,1
CENTRO,Parques Y Jardines                                                                                  ,704.65,1
CENTRO,Parques Y Jardines                                                                                  ,395.35,1
CENTRO,Parques Y Jardines                                                                                  ,1128.38,1
CENTRO,Parques Y Jardines                                                                                  ,372.3,1
CENTRO,Parques Y Jardines                                                                                  ,920.5,1
CENTRO,Parques Y Jardines                                                                                  ,14193.99,1
CENTRO,Parques Y Jardines                                                                                  ,3385.55,1
CENTRO,Parques Y Jardines                                                                                  ,3098.0,1
CENTRO,Parques Y Jardines                                                                                  ,7343.75,1
CENTRO,Parques Y Jardines                                                                                  ,207.21,1
CENTRO,Parques Y Jardines                                                                                  ,2379.34,1
CENTRO,Parques Y Jardines                                                                                  ,518.29,1
ARGANZUELA,Parques Y Jardines                                                                                  ,108873.35,2
ARGANZUELA,Parques Y Jardines                                                                                  ,9141.5,2
ARGANZUELA,Parques Y Jardines                                                                                  ,3013.5,2
ARGANZUELA,Parques Y Jardines                                                                                  ,776.2,2
ARGANZUELA,Parques Y Jardines                                                                                  ,176.55,2
ARGANZUELA,Parques Y Jardines                                                                                  ,6731.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,2951.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1880.81,2
ARGANZUELA,Parques Y Jardines                                                                                  ,2916.41,2
ARGANZUELA,Parques Y Jardines                                                                                  ,828.4,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1072.6,2
ARGANZUELA,Parques Y Jardines                                                                                  ,4544.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1890.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,10647.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,6992.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1520.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,2131.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1260.0,2
ARGANZUELA,Parques Y Jardines                                                                                  ,835.79,2
ARGANZUELA,Parques Y Jardines                                                                                  ,529.94,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1571.1,2
ARGANZUELA,Parques Y Jardines                                                                                  ,1948.51,2
