nombre_estacion,cod_municipio,tipo_via,particula,nombre_via,cod_postal,cod_distrito,cod_barrio,lineas_cercanias
EMBAJADORES,79,Gta,de,Embajadores,28012,1,12,C-5
SOL,79,Plaza,de la,Puerta del Sol,28013,1,16,"C-3, C-4"
PIRÁMIDES,79,Paseo,del,Doctor Vallejo Nágera,28005,2,22,"C-1, C-10"
DELICIAS,79,Calle,de,Ramírez de Prado,28045,2,25,"C-1, C-10"
MÉNDEZ ÁLVARO,79,Calle,del,Ombu,28045,2,27,"C-1, C-10, C-5"
ATOCHA,79,Avda,de la,Ciudad de Barcelona,28007,2,27,"C-1, C-10, C-2, C-3, C-4, C-5, C-7, C-8, C-8a"
RECOLETOS,79,Paseo,de,Recoletos,28001,4,41,"C-1, C-10, C-2, C-7, C-8, C-8a"
CHAMARTÍN,79,Calle,de,Agustín de Foxá,28036,5,56,"C-1, C-10, C-2, C-3, C-4, C-7, C-8, C-8a"
NUEVOS MINISTERIOS,79,Calle,de,Raimundo Fernández Villaverde,28046,6,62,"C-1, C-10, C-2, C-3, C-4, C-7, C-8, C-8a"
RAMÓN Y CAJAL,79,Calle,de,San Modesto,28034,8,86,"C-7, C-8, C-8a"
FUENCARRAL,79,Calle,de,Antonio de Cabezón,28034,8,86,C-4
PITIS,79,Ctra,a la,Estación de Pitis,28035,8,87,"C-7, C-8, C-8a"
MIRASIERRA-PACO DE LUCÍA,79,Calle,de la,Costa Brava,28034,8,87,"C-7, C-8, C-8a"
UNIVERSIDAD P. COMILLAS,79,Ctra,del,Goloso,28790,8,88,C-4
CANTOBLANCO UNIVERSIDAD,79,Calle,de,Freud,28049,8,88,C-4
"GOLOSO, EL",79,Ctra,de,Colmenar Viejo,28790,8,88,C-4
PRÍNCIPE PÍO,79,Paseo,de la,Florida,28008,9,91,"C-1, C-10, C-7"
"BARRIAL-C.COM.POZUELO, EL",79,Via, ,Ferrocarril,28023,9,96,"C-10, C-7"
ARAVACA,79,Calle,de la,Golondrina,28023,9,97,"C-10, C-7"
LAGUNA,79,Calle,de,Cuart de Poblet,28047,10,101,C-5
ALUCHE,79,Calle,de,Valmojado,28047,10,104,C-5
CUATRO VIENTOS,79,Paseo,de,Extremadura,28024,10,106,C-5
"ÁGUILAS, LAS",79,Avda,del,General Fanjul,28044,10,107,C-5
FANJUL,79,Avda,del,General Fanjul,28044,10,107,C-5
DOCE DE OCTUBRE,79,Avda,de,Córdoba,28041,12,122,C-5
ORCASITAS,79,Calle,de,Campotejar,28041,12,122,C-5
"POZO, EL",79,Avda,de,Entrevías,28053,13,131,"C-2, C-7, C-8, C-8a"
ASAMBLEA DE MADRID-ENTREVÍAS,79,Calle,del,Vizconde de Arlessón,28053,13,131,"C-2, C-7, C-8, C-8a"
VALLECAS,79,Avda,de la,Democracia,28031,13,134,"C-2, C-7, C-8, C-8a"
FUENTE DE LA MORA,79,Calle,de,Dulce Chacón,28050,16,166,"C-1, C-10"
SAN CRISTÓBAL INDUSTRIAL,79,Acces,a la,Colonia Marconi,28021,17,171,C-3
VILLAVERDE ALTO,79,Calle,del,Valle de Tobalina,28021,17,171,"C-4, C-5"
PUENTE ALCOCER,79,Calle,de,Alcocer,28041,17,171,C-5
SAN CRISTÓBAL DE LOS ANGELES,79,Calle,de,Paterna,28021,17,172,C-3
VILLAVERDE BAJO,79,Paseo,de la,Estación,28021,17,174,"C-3, C-4"
SANTA EUGENIA,79,Avda,de,Santa Eugenia,28031,18,182,"C-2, C-7, C-8, C-8a"
VICÁLVARO,79,Calle,de,San Cipriano,28032,19,191,"C-2, C-7, C-8, C-8a"
AEROPUERTO T4,79,Ctra,de,Alcobendas a Barajas,28042,21,214,"C-1, C-10"
VALDEBEBAS,79,Avda,de las,Fuerzas Armadas,28055,21,214,"C-1, C-10"
