nombre_estacion,cod_municipio,tipo_via,particula,nombre_via,cod_postal,cod_distrito,cod_barrio,lineas_metro_ligero
PALAS DE REY,79,Calle,de,Palas de Rey,28050,8,86,1
LAS TABLAS,79,Calle,de,Palas de Rey,28050,8,86,1
ESTACION DE ARAVACA,79,Calle,de la,Golondrina,28023,9,97,2
COLONIA JARDIN,79,Calle,de,Arenas de San Pedro,28024,10,105,3
COLONIA JARDIN,79,Calle,de,Arenas de San Pedro,28024,10,105,2
PINAR DE CHAMARTIN,79,Calle,de,Arturo Soria,28033,15,159,1
ANTONIO SAURA,79,Calle,del,Príncipe Carlos,28050,16,166,1
VIRGEN DEL CORTIJO,79,Avda,de,Manoteras,28050,16,166,1
ALVAREZ DE VILLAAMIL,79,Calle,del,Príncipe Carlos,28050,16,166,1
BLASCO IBAÑEZ,79,Calle,del,Príncipe Carlos,28050,16,166,1
FUENTE DE LA MORA,79,Calle,de,Dulce Chacón,28050,16,166,1
MARIA TUDOR,79,Calle,de,María Tudor,28050,16,166,1
